"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13"
"1",1,0.00197865559468117,-0.00742318935846233,-0.00600178502064512,-0.00198351681331295,-0.00228190186966499,0.00311267077193026,-0.000763676833378388,0.00570064045493595,-0.00195834768717705,-0.000388539152635508,-0.00526328659671626,0.00156994217425971,-0.00290981912569019,-0.0018923884726503
"2",2,0.00461756342230154,-0.00881332699066405,-0.00473166650244265,-0.00444708834155629,-0.00486618553365799,-0.00186691304458281,-0.0025971251895043,0.0021055673167133,-0.00240675004998762,0.00420564805733934,-0.000943763500749668,-0.00292961055878996,-0.00432797599349497,0.0012608763716104
"3",3,0.00131689896860727,-0.0119314304238087,-0.0040637164212493,-0.00316318574598088,-0.00193350135008521,-0.00154163198298099,-0.00475998737687646,0.00295081473886279,-0.00137631174218984,0.000528396012729363,-0.00188835838192045,0.00310591001060025,-0.00209685099363563,0.000991443727961771
"4",4,0.00448235651251709,-0.00739942967562405,-0.00118256541682471,0.0011467477507721,0.000795775437240958,0.00775470636318462,-0.00471090013556677,0.00643050462658228,-0.00429663480622783,0.00236318377252156,-0.00436933150144526,0.00616075364336733,-0.00527773799021215,-0.00216318576124666
"5",5,0.004516002022645,-0.00622829570988364,-0.00148741684142646,-0.00738644147864371,-0.00757321027712552,-0.00181355312451142,-0.00508042487525382,0.00401860631922519,-0.00701201527112169,9.49625821884008e-05,-0.00565106818162144,0.00216970935235356,-0.0045904447513796,-0.00830627477021085
"6",6,0.00165695399755658,-0.00885871308544935,-0.00209149222086868,-0.00226706544892517,-0.00322144620558524,-0.000100924656496829,-0.00318376789131885,0.00447720233441979,-0.00295289564121696,-0.0017039407971663,-0.0016429046403514,0.00656862335059581,-0.00290958588151788,-0.00597928473315402
"7",7,0.0035304391480882,-0.00898254911790891,-0.00652572489797223,-0.00171008165879048,-0.00168104195590938,0.00393926458837185,-0.00488154431339879,0.000942022982486348,-0.00474578481071132,0.00478837305631554,-0.00114377719827737,-0.00103464654516698,-0.00570336513622609,0.00590633816033941
"8",8,0.00121145995198961,-0.00625858864869462,-0.00475442220824738,-0.00255544417000419,-0.00483251475566347,-0.00152688843353678,-0.00582295214609603,0.00279912549372758,-0.00305802059062897,0.00311161384021785,-0.000413183720304041,0.00140350355016223,-0.000254116190966321,-0.00275168943210187
"9",9,0.00716325263564601,-0.0023739499198196,-0.00296402622847357,-0.00654990025182271,-0.00247781599593501,-0.00154328015304014,-0.0033457282602576,0.00208512601768616,0.000334299375575489,0.00680591802725723,0.000903857994749349,-0.00263345693768271,-0.00155352302995493,-0.00366476784548797
"10",10,0.000980176334542227,-0.00252165929668902,-0.00464559106310929,0.000641327334506342,-0.00426401445037293,0.00344387661891518,-0.00347689735787512,0.00460256060725727,-0.00678627488559651,-0.000388097884588693,-0.00499820752262919,0.00403772976139375,-0.00374810306332597,0.000494840635851106
"11",11,0.000710020649784806,-0.00233004866877122,-0.00850640079686418,0.00119755404855097,-0.0114375085194931,0.00289890444551338,-0.00456264174533427,0.00439148218130092,-0.00436282792500864,-0.00020380611933031,-0.00659193705754478,0.00506425701191436,-0.00498573383971279,0.000852974592413768
"12",12,0.00563905453867693,-0.00770502936845587,-0.00327089891009811,-0.00153612684386012,-0.00247553211839943,-0.000640166318243676,-0.0030453488857786,0.00282143071670935,-0.00189576709895485,0.00195168506653119,-0.00321967213798022,0.00674366721509411,-0.000127904734427526,-0.00610261970803067
"13",13,-0.000883053762667233,-0.00784498777967027,-0.000166757010847111,-0.00462776823250831,-0.00404779240503245,-0.00105813968232174,-0.00368485024418421,-0.00416245402016633,-0.0059946612291501,-0.000195461106411578,0.00245318403030845,-0.0012099290785741,-0.00350936294245403,-0.00291677552729843
"14",14,-0.000331093599394996,-0.00676703577755157,-0.00511950531709929,-0.00115849035728874,-0.00683734411998574,0.000754063594580695,-0.0056793607724179,0.00494168405282542,-0.00605193053588262,0.00239720709036271,-0.00380055773971095,0.00957357258006746,-0.00383072156909239,-0.00630326731462524
"15",15,0.00541463344716989,-0.00921610187700897,-0.000636453908860647,-0.00499043559270645,-0.00351126557529607,-0.00376945181110211,-0.00148123396041064,0.00477419028571358,0.00205763468318063,0.00615212757464244,-0.00280436463435154,-0.000727458989365917,-0.0026520233050917,0.000317587690048619
"16",16,0.00533434075115133,-0.00740335001750303,-0.00395573102921137,0.000824572296273959,-0.00320898456460183,-0.000616649179783266,-0.00505843827075517,0.00680054202607748,-0.004075232315782,0.00254353302741057,-0.00273828268053025,0.00235892655556158,-0.00303750503091915,-0.00446064647529436
"17",17,0.00416535241187126,-0.00737786432424176,-0.00112769640141661,-0.0053970602597398,-0.000228171865252977,-0.000715185992318249,-0.000685058936382705,0.00160161440911941,-0.00258393163863324,0.00225299410813423,-0.00140107819621471,0.00253232913920526,-0.00241081385379289,-0.00438769390058976
"18",18,0.00559810561534032,-0.008922550535975,-0.00497850369468342,-0.00398045609684268,-0.00434534231216908,-0.00247941799882444,-0.00582974843349338,0.00182548068250217,-0.00389325619883557,0.000172186782410789,-0.00449108920599855,0.00081488968697248,-0.00352140501542259,-0.00263684051804627
"19",19,0.00414102043433476,-0.0082887332609207,-0.00651303681176687,-0.000154348583954673,-0.00402730999826724,0.00520798141392768,-0.00487542695904365,0.0068143132748511,-0.00749417207191702,0.0038529384433727,-0.00355622181351667,0.00548752789642308,-0.00382588879501541,0.000838691659814061
"20",20,0.00186297582543387,-0.00539047629465034,-0.00245127081763865,-0.00316773984659331,-0.00378320952105155,0.000780185033574218,-0.00119983066299553,0.00791558957581846,-0.000902868836963885,0.0034400746546724,-0.00152612734904834,0.00287465335127797,-0.00273857786044153,-0.00417464839057863
"21",21,0.00143423036540616,-0.00330361902468756,-0.00449829880248208,-0.000954583640731507,-0.00601325546233382,0.00118486735399019,-0.00432388864596679,0.00475661397269705,-0.000707242801299264,0.00445847388899901,0.000541579220738963,0.00358740370393016,-0.00623416296397006,0.00199678333104008
"22",22,0.00306532876557662,-0.00830124957073355,-0.00325268580608086,-0.000322327809039122,-0.00552868414488913,0.00333330303588683,-0.00645926847060935,0.00217598155057177,-0.00457092721424723,0.00301210160838142,-0.00385781095409933,0.00409779494808465,-0.00742307194114824,-0.00303913209730886
"23",23,-0.000639198434452105,-0.00885290445987486,-0.00163072325619298,-0.00135464127488925,-0.00959486905114077,-0.00169552978454338,-0.00348052996599439,0.00224662085844307,-0.00246194639210909,0.00548086184165579,-0.00315646864121876,0.00563954305432927,-0.00360483713082991,0.00117123258889321
"24",24,0.00149629573984167,-0.00353986929884409,-0.00660986315994747,-0.00297959364279178,-0.00318361870191946,0.0028835173954519,-0.00637146869736987,0.00382815866403122,-0.00138598711127081,0.00456475080490251,-0.00217732488246373,0.000337710822926508,-0.00343944882412125,0.000170027630434983
"25",25,0.00407092656735642,-0.00730119840564071,-0.00110162866031706,-0.00539604747891819,-0.00387453173757592,0.0035435984636101,0.000331133901020096,0.00501709970384928,-0.00887753137851562,-0.00398689756566021,-0.00211084488215016,0.00849010940482288,-0.00490111468979519,0.000353452058170446
"26",26,0.00660089201210647,-0.00583953219956585,-0.0037279405484718,-0.00133432231198123,-0.00478645443261729,0.00122662471525833,-0.00250569464579941,0.0058241188771787,-0.00182057094032792,0.00535495499833065,-0.00500540754817795,0.00172962801388243,-0.0046333167369083,-0.00170024557722945
"27",27,0.00503076550374636,-0.00958219089375822,-0.0010123882815457,0.00133581798696997,-0.00278243363055436,-0.000440350668450165,-0.00356353335353773,0.00134185971278324,-0.00439743199208031,0.00724020804441685,0.000107497717730475,0.00241344234485473,-0.00444306325537461,-0.00230837952738675
"28",28,0.00980060433186501,-0.00626549846547575,-0.00261230269756026,-0.00459765231808151,-0.00249828157140564,0.00288182138704383,-0.00210984422451323,0.00515120930441482,-0.00527410239108518,-8.83095043552133e-05,-0.00526801572517834,0.00608437408226428,-0.00392264854978013,-0.00609061696359521
"29",29,0.00514291272102574,-0.00380353192982916,-0.00406459532644454,0.000222205366463258,-0.00547623362267891,0.00475290777414906,-0.00451568563956085,0.00753484032724986,-0.00437410341307502,0.00180708683151608,-0.00392285014832751,0.0061530259329629,-0.00460696935723029,0.000815887135281209
"30",30,0.00438655865498132,-0.00439570946311236,-0.00450714193278618,-0.000397188139890005,-0.00590592127872397,0.0051558734252805,-0.00511222942026743,0.00611601757301778,-0.0023553236684323,0.00687451735213135,-0.00325465028097334,0.00273715573363207,-0.00195650922736545,-0.00523532376326189
"31",31,0.0104439222854034,-0.005391006603296,-0.00219208658241045,-0.00499948074402337,-0.00222646587521271,-0.00247339110696597,-0.00366697409541621,0.00350204613491973,-0.00375875871960099,0.00434153481782218,-0.00139857379173193,0.000587802250509369,-0.00386583318797512,-0.00561876855492955
"32",32,0.00563173667239917,-0.0069047598467997,-0.00163976103232946,-0.0035248318759018,-0.00593878319235725,0.00109361304351546,-0.00442634849390451,0.00452330889884498,-0.00406033779756654,0.00563557106991465,-0.000728749321663574,0.0014321319648079,-0.00421729260188099,3.20777754577698e-05
"33",33,0.00468689926963702,-0.00749490746248772,-0.000642426425517715,0.000327166468719473,-0.0055627135137757,0.00345838478643298,-0.00432990472271005,0.00337094679494012,-0.00111089093607433,0.00564764941401245,-0.00175996530477948,0.00248521825924043,-0.00667174438030083,-0.00131613645033455
"34",34,0.00339797584619987,-0.00774605635131615,-0.00723699454394848,-0.00235653752746087,-0.00106552643930241,-0.000918206779509259,-0.00235960401454911,0.00412414669518418,-0.00451401919034618,-0.000797704898553534,-0.00775941023818651,0.00140839634231907,-0.00519386047185871,-0.00232274643107676
"35",35,0.00434041912352003,-0.00594173090118498,-0.000801320739083828,-0.00583288785534936,-0.00724666987901327,0.00279700049592248,0.000363856978099898,0.00384063181599775,-0.00340712700542654,-0.000636969218074421,-0.00679951599126192,0.00118078415138686,-0.00305267489775113,-0.00543271729572304
