"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"1",1,-0.0118398365304296,0.00611256715467031,0.00592837815573817,0.00385809571544596,-0.00623820444687688,-0.00286443474642053,-0.00443869415329357,-0.00586684811939175,-0.00466453437796608,0.00192325614708162,0.00843705602608538,0.000790505814843291,-0.000378304972984819,0.00529716109137188,-0.0016507347067561,0.00159850446438195
"2",2,-0.0134724514597132,0.00899578933416615,0.00478073383480091,0.00343395898942225,-0.00380110155205952,0.000656358019568657,-0.00428584273843287,-0.00624158961201572,-0.00496502324332794,0.000420207553233249,0.00635645122830444,0.00242221313829502,0.00214584489804161,0.00548659860739797,-0.00157528645488897,0.00050065547039602
"3",3,-0.0118450936839828,0.0106390473815389,0.00228188190494284,0.00341772731994298,-0.00335697544310012,0.00165495980242235,-0.00238498380353954,-0.00562657016020943,-0.00557052783901944,0.00131004861625134,0.00659430092305745,-0.00135334935425729,0.000804118442071865,0.00627615881145401,-0.00203343842366052,-0.000153974839076636
"4",4,-0.0143075326530421,0.00825635736955475,0.00121028401324307,0.000696510257438709,-0.00881247062195524,-0.00418187790525595,-0.0025781968669069,-0.0066403910163904,-0.00356511598235256,0.00201603859855724,0.00915126334564086,-0.00288154545405676,0.00245380288840611,0.0070060316600622,8.39326096945844e-05,0.00445202410584421
"5",5,-0.0103425035213665,0.00771438573624566,0.00185438059433481,0.00712686670631913,-0.000535848994676144,0.00295884399867748,0.00106300909639643,-0.00308272306725987,0.000449945567169889,0.000589703313467877,0.0108223770817717,-0.00178109578412496,0.000641562917618069,0.00886564053647882,-0.0036590622376014,0.000329021353626685
"6",6,-0.0107297718293251,0.00852845117489274,0.00179655572441582,0.00264294478829585,-0.00347291472376376,-0.000569374410609541,-0.00232913734395682,-0.00570562250887071,-0.00238066744804232,0.0027241720390016,0.00626951485592639,-0.00236289936147841,0.00173623935335211,0.00816847690472661,-0.0018793880676071,0.0015760507992569
"7",7,-0.0113877984433029,0.0090830504921569,0.00421424610742084,0.00157444278859527,-0.00409846373028311,-0.00225084102391817,-0.00038695422753212,-0.0035200564898172,-0.00138493470362059,-0.00154138002964762,0.00550537845648226,0.00132574790447374,0.00216827142335757,0.000391162295981447,-0.00123512992920826,0.000780958157353034
"8",8,-0.0102787746088964,0.0049495431786589,0.00147035220644349,0.00391051380591077,-0.00247414420294593,0.00109847703199381,-0.00177729299982741,-0.00466485585289029,-0.00374917645036537,-0.000395290045371321,0.00390562663102777,0.000452923665878822,0.00209890754933882,0.00699139779649825,-0.000842394222097492,0.00172600049353815
"9",9,-0.0125173843546286,0.00257329137720056,0.00219488231691303,0.00541180438473682,-0.00160798554062728,0.00155758544632852,0.000157482878463364,-0.00198772056432921,-0.00427361336878649,-0.00241091828492718,0.00560585987591475,0.000986577815633728,0.000208664177235635,0.00647175917554505,0.00182899528613265,0.00201029384356227
"10",10,-0.0101982240275697,0.00255924138304769,0.00404428813496866,0.000772249937739185,-0.00331243104027844,-0.00364825554984382,-0.00246264570998309,-0.00654883659702706,-0.00201514547484215,0.00171207623719318,0.00846691638297171,-0.000399321026079855,0.00172482726166943,0.00377781939072935,-0.00328589434861051,0.000538404703467955
"11",11,-0.0103898170219715,0.00452476750664447,0.00810652196800626,-0.000453611678454418,0.000746219897309629,-0.00363137327956621,-0.00232757082483629,-0.00795906326049196,-0.00297154437724002,0.00194379770929153,0.0101300107541854,-0.00169765499052148,0.00226653142220173,0.0047522960371219,-0.00186003980473405,0.000276599340145934
"12",12,-0.0137820687715169,0.00922597422273154,0.00233125298814928,0.00191989270153518,-0.00660511260696504,0.000928603782657932,-0.00389152814492769,-0.00411599414119746,-0.00487084339978689,0.00231300186422852,0.00686026183610517,-0.0031155047183443,-0.000670737655674985,0.00879906112968366,-0.00237465909945559,0.00386386148857393
"13",13,-0.00770226632647308,0.00761857491964587,-0.000967511011619351,0.00400378930708828,-0.00181723108251809,0.00124394833424863,-0.000478528546842966,0.000154480151115603,-3.01508643822621e-05,0.000920692904430482,0.00418700301725785,0.00136373951912981,0.00350339531377935,0.00646942047243435,-4.94271086296813e-06,0.00190741171898139
"14",14,-0.00963084596444983,0.00623773957422525,0.00376726421783371,0.0030563262767872,-0.00199810399426926,-0.0011046853680365,-0.00268826484389128,-0.00726753696373572,-0.00283416009021444,0.000779931440350407,0.00825750938928217,-0.00261067672096762,0.00238039360517191,0.00818847836541037,0.000113589262241381,0.00251331171719976
"15",15,-0.0157616244322853,0.00969204898689804,0.00051280386218475,0.00412412271639773,-0.00439556731958489,0.00369311098713548,-0.00592115806085806,-0.00716593747674791,-0.00752006499511691,-0.000125762620478474,0.00812935965597167,0.00272011804000574,0.00220916891369002,0.00801005176908354,-0.000906358469370247,0.00308768248608061
"16",16,-0.0134799715106675,0.00654703231571553,0.00357930608833012,0.000416904601926184,-0.0028730188382165,0.000475106863535707,-0.00265102039034489,-0.00771294416753307,-0.00427493067154482,-0.000102898994494081,0.00758778409937793,-0.001615459592066,0.000373585073840762,0.00793682782218501,-0.00257945844451354,0.00132592732037316
"17",17,-0.0123732481312093,0.00597509474322928,-0.000453588494156525,0.00502270968566033,-0.00517270798435471,0.00067036831478892,-0.00651265565180162,-0.00528111842864124,-0.00462797503761895,-0.000163374523013722,0.0043873556104702,0.000364282691247245,0.0018001000893925,0.00837813015451955,-0.00342756395638688,0.00088767932928543
"18",18,-0.0136407340506764,0.0085839111251033,0.00390048865410511,0.0045670915206047,-0.00282382683044517,0.00129004831642036,-0.00213831910651326,-0.0058033954504375,-0.00353453525675497,0.00239395575444381,0.00899984431375463,0.000245650035121458,0.00230915044643462,0.00781761033078033,-0.00191437238798055,-6.99094803062231e-05
"19",19,-0.0131736248637746,0.00836543810109768,0.00367921925698475,0.00231363726931482,-0.00281488152471564,-0.00264552961999106,-0.00177372300311059,-0.00726007324804394,-0.00201786777706784,-0.00146968835060275,0.00770982850675002,-0.00248391567661376,0.00146135391990059,0.00558706527100233,-0.000388254276928536,0.00161507572531268
"20",20,-0.0146606627846213,0.00759754677871893,0.00199350025590981,0.00423150882775713,-0.00569178091148767,0.000614579575474145,-0.00614912529106717,-0.00790261071912756,-0.00812689577763311,0.000160216830472542,0.00749755740614006,0.00107315211483578,0.000720140976349057,0.0104743445207838,-0.000804431701965614,0.00150304177821442
"21",21,-0.0117368760196964,0.00481507820729946,0.00357292982238062,0.00180340148321319,-0.00154948664748995,-0.00130665920181787,-0.00141972934931436,-0.00580137962905656,-0.00427466185936459,-0.00107935309068161,0.0058733861051145,-0.00129062533673059,0.00378814634759881,0.00463338393064514,-0.00195278842053375,0.00219927194194807
"22",22,-0.0115937775119533,0.00772269843838952,0.000945070401164502,0.000993338542163861,-0.00202409263749029,-0.00278739223442142,-0.00218043492766726,-0.00573423207262396,-0.00196814170178942,0.000506299559508288,0.0079244106812921,-0.00124975890280644,0.00533288025225871,0.00848988265485661,6.06053430130524e-05,0.0013980555406741
"23",23,-0.00777656871244541,0.00822612869003994,0.00114913888130264,0.00308029468105081,0.001281673043044,0.000633851982093876,-0.00226296414955885,-0.00423065210072147,-0.0018757622452032,-0.00193731870773629,0.00819335784184262,-0.0012263451076945,0.00172969291742412,0.00275536867284077,-0.00276244305436143,0.00219911324822274
