"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19","coef_lag20"
"1",1,-0.00399887080597358,-0.00746304819777251,-0.0111995157862189,-0.0110907588017734,-0.00451150619007108,0.00373211581697804,-0.0033205993641005,-0.00178870031283903,-0.00487219569296015,-0.00300471341132432,-0.00373717475418772,-0.00347355313025961,-0.00237160826742139,0.00819199564128534,0.000984776677695298,0.00152359877489647,-0.00820617212121577,0.000574662915192898,-0.00254367119595337,-0.00503194312474133,-0.0141449728512462
"2",2,-0.000354473317311152,-0.0134202783665329,-0.00952072415975182,-0.012084170601422,-0.00546529565111795,-0.002207404442953,-0.00548258700215339,-0.00651339403464057,-0.00309668924373516,-0.00135720715688681,-0.00346406391805306,-0.00591608010468246,-0.00368956119738666,0.00462975310848924,0.0040240022689529,0.00109298726723279,-0.0032133882226773,-0.00558837155451108,-0.00709244609902752,-0.00561201117278818,-0.0122752158794733
"3",3,-0.0018785650496228,-0.0101687353446272,-0.00657810117543344,-0.00748895276549145,-0.00998095704457059,-0.00180118483291171,-0.00677657974186502,-0.00738483409254895,-0.00530739617729382,-0.003079610780504,-0.00261808096057356,-0.00214534069114012,-0.00191070874512611,0.00573443817850354,0.00313603623919134,0.00164475719968004,-0.00772155232186608,0.00387578942165582,0.00249938142291536,-0.006929111003759,-0.00943025495073401
"4",4,-0.00108982351984024,-0.00743876255439747,-0.00619776443653171,0.000323950590524591,-0.00366795523841268,0.0087052455358599,-0.00961504723255226,-0.00141297938487901,-0.00835339617119327,-0.00179934221771514,-0.00952307226853894,0.00251591742761458,-0.00251972278333078,0.00372466378886798,0.0037585419428652,-0.00194842420059319,-0.00785537395010664,-0.00299952458790103,-0.00539198915208788,0.0019914429704373,-0.00840989753316114
"5",5,-0.00278839782972544,-0.00467550183942753,-0.00964941749960898,-0.0110528925413592,-0.0091948594558156,-0.00408695811613429,-0.0114975507462239,-0.000147650759492346,-0.010073860877421,-0.00399718517403902,-0.00561307100471792,-0.00285488225525571,0.00269390163207543,-0.00629353603996105,0.00445703767795575,0.00715026631513871,-0.00593706055029909,0.000554442534217161,-0.00687422128534241,-0.00431832613514435,-0.00473750247770842
"6",6,-0.00655586463332229,-0.00591369845893518,-0.00847454064066336,-0.00669175802765521,-0.00734716790794938,-0.00112494128874215,-0.0068706618275988,-0.00119412504945429,-0.00717870490497728,-0.00509775521507619,-4.9144679900027e-05,-0.000144262442771211,0.000852336252415621,-5.12969376593747e-05,0.0015890652198873,0.00168216892999163,-0.00704417210619382,-0.00153063513449184,-0.00355405445070058,-0.00220304100127615,-0.0106813843078574
"7",7,0.00334201911736138,-0.0105377444420141,-0.00450366056133831,-0.0134954418471863,-0.00459781005387774,0.00447898773781817,-0.00461406711699648,-0.0101322080068651,-0.00492411117129272,0.00165157161127841,-0.000750518433317727,-0.00681232765781959,-0.0053082145261205,0.0109640839610958,0.00627182764547274,0.00018923707745745,-0.00768696186969766,0.00238726121548229,0.00178170633020908,-0.00598201396026108,-0.00927910388934998
"8",8,-0.00326997563326132,-0.00985722241433255,-0.00819805904786054,-0.00848055635649985,-0.0116843353435862,0.00578290988046758,-0.00676360810515726,-0.00516752723186863,-0.00431527881057729,0.00271494415376586,-0.00357355292679886,-0.000425357851436803,0.000973033603775833,0.00317732686029861,0.00726801839889919,3.88307784530164e-05,-0.0097261095947173,-0.00138301789827232,-0.0087145993358865,-0.00349563779653937,-0.00996039730290679
"9",9,0.000180954204550859,-0.00461151087531006,-0.00931114085714603,-0.00885999752632949,-0.0108468557445396,0.00121082518007099,-0.00881150223248941,-0.00594895523740602,-0.00577223295416618,0.00180152397898903,-0.00729915520225313,-0.00478520149047328,-0.00208772530759482,0.000604561614067907,0.00227402334198502,0.00397558329833597,-0.00952847893443183,-0.00474873582466389,-0.00897847066711282,-0.00677716623124704,-0.00739172905312819
"10",10,-0.00468244283153934,-0.00361006244452711,-0.0102144365956156,-0.00886268299999995,-0.00732533676613099,0.00135125256510904,-0.00503306016079644,-0.00304517873235738,-0.0092653739714966,-0.00604540509127261,-0.00386689223063476,-0.00127592276888055,-0.00261774285984293,0.00622690683357076,0.00473536762202796,0.00500679229230165,-0.00514017356796545,-0.00149562583466724,-0.00797631218858821,-0.00757965329264777,-0.0101165808619503
