"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"1",1,0.00401033746147293,-0.00803780226388909,-0.00646395132163104,-0.00638441092478749,-0.000246381967649886,0.000769322038787157,0.00200793712099373,0.0052518020808947,-0.00155072512310841,-0.00306947642152587,-0.00748465794341968
"2",2,0.00484038068375284,-0.0100938058593592,-0.0053530597119371,-0.00649668051213362,-0.00270983147861696,-0.00123915468303151,0.000413359245952512,0.00214549115975447,-0.000801645337320895,0.000486833970192883,-0.00568741475052738
"3",3,0.00361229289597479,-0.0123359768033476,-0.00492573914425517,-0.00730965943194413,7.89931479596677e-05,-0.0025037512081523,-0.00212932831388161,0.00252125957698457,0.000713159323421695,-0.0026570494985598,-0.00575743024961341
"4",4,0.00582964189792242,-0.00791846641443466,-0.00113753826177248,-0.00452421048778722,0.00264267375478483,0.00421011167814277,-0.00155189033526609,0.00457941219197894,-0.00277308381626421,0.000306480463147551,-0.00435036618003811
"5",5,0.00444537160185469,-0.00718386981440973,-0.00405741775581418,-0.0103694850732397,-0.00707042953744596,-0.000627447556943834,-0.00246663524504756,0.0049098965975208,-0.00520029244368942,-0.00132683020359187,-0.00974926386263619
"6",6,0.00433137920723754,-0.00939629322513391,-0.00344619376459508,-0.00680119452796539,-0.00107986045709671,-0.000772446230916563,0.000339760222140308,0.00604998055979435,-0.000492130387383443,-0.00487616322250671,-0.00622430696380974
"7",7,0.00610917518894686,-0.00925768992248064,-0.00549499379334737,-0.00531717300208384,0.00213458064847426,0.00145470905602287,-8.9251996370907e-05,-0.000448871560861421,-0.00306482823807518,0.00138859160044316,-0.0039044232851668
"8",8,0.00239986276165503,-0.00621506411668557,-0.00552226349323141,-0.00574656527855736,-0.00245607950972506,-0.00119933876141156,-0.00193599111095609,0.00373267123034349,-0.000553063856393814,-2.7708626042947e-05,-0.00538898175639038
"9",9,0.00756218172265498,-0.0043290134823332,-0.0038085209446445,-0.00807116586048012,-0.000557252007190657,-0.000891363353760116,-0.000444394685187121,0.00312487892068168,0.00135115385018128,0.00319004100116215,-0.00408160281045211
"10",10,0.00232155141714577,-0.00331397974901829,-0.00589957666677821,-0.00266220967436895,-0.00380554076262493,0.00214759590055614,-0.00264200136837322,0.00415653480627357,-0.00629256693572673,-0.00230255873581611,-0.00619250490710759
"11",11,0.00402618264212429,-0.00484146015587755,-0.00923108890240757,-0.00415417071140192,-0.00865029616219489,0.000293532041594835,-0.000903443014934432,0.00382836255964219,-0.00265973616501223,-0.00526431427595971,-0.0103286151205557
"12",12,0.00844430768608218,-0.00816335278927715,-0.00464254319761389,-0.00728513703830701,-0.000312230839090238,-0.00226960847688412,0.00116991641059685,0.00290539903391255,0.00106736528227852,-0.000843414576547494,-0.00733431566110298
"13",13,2.26517753393028e-05,-0.00763960239858875,-0.00309043172409547,-0.00730228165122079,-0.00365147352871733,-7.08276222164256e-05,-0.00218325920782944,-0.00293440095843485,-0.00567980717208014,-0.00184378042152919,-0.00216703144713464
"14",14,0.00206470586540774,-0.00875938877610089,-0.00599150759682347,-0.00630838805252149,-0.00455238264156431,-0.000586814819295718,-0.00192365623166022,0.00561724030522669,-0.00311291749433176,-0.00136655295577737,-0.00714096462037977
"15",15,0.00574746972616252,-0.00886396234877984,-0.00195215124375333,-0.00853898628696425,-0.00276235093737352,-0.00435606629957737,0.000130587739759375,0.00438584576158349,0.00271386819840747,0.0040539806118147,-0.00618948082119605
"16",16,0.00563309214565927,-0.00809612258253384,-0.00430231509766729,-0.00326666508581482,-0.000394517960261882,-0.000608103231886413,-0.000418510886783995,0.00686960339558585,-0.00105959015201087,-0.00127741981862782,-0.00655546402105131
"17",17,0.00509166802984077,-0.00801086896114211,-0.00327484476571715,-0.00856494316007092,0.000225853558015497,-0.00029511515048366,0.000560479164785243,0.00245647048682517,-0.00177974592825151,0.000244122270949922,-0.00467633508154649
"18",18,0.00475684999340977,-0.00880236540460811,-0.00578884923547427,-0.00612952047042595,-0.00315753918370786,-0.000990619057828819,-0.00330025519702964,0.00241319979894464,-0.00179107152247059,-0.00241249766642196,-0.00802756921452375
"19",19,0.0078071366123474,-0.00840673376847564,-0.00548991707594452,-0.00522075589323723,0.000663213423927825,0.00293460031941756,0.00110628498114458,0.00624355178569461,-0.00317936369813502,-0.000237635075708423,-0.00785862395002837
