"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"1",1,0.00724779855192857,0.00350189874414864,0.00411702066161123,0.00634968079297737,0.00702152911558716,0.00545975358957939,-0.00264546781548948,0.00076739242019056,-0.0122944836017422,-0.00330959799351015,-0.0110917439293721
"2",2,0.00798907374957163,0.00452280192031355,0.00854578966468206,0.00881353275930691,0.00827667132977153,0.00682831597286326,-0.000442164759694352,0.00149812988508939,-0.0106225581718522,-0.00328259136351367,-0.0128229498973273
"3",3,0.00978276765499553,0.0025049077278349,0.00816233838551523,0.00757787003038175,0.0104025789887229,0.0104561477026478,0.00393769614027694,0.00675862803169349,-0.00857216637112453,-0.00216328787975007,-0.0133096426243205
"4",4,0.00855760711512993,0.0029467165957571,0.00877154382689306,0.00602318674693046,0.00966777865983069,0.00823854827289854,-0.00194376856694763,0.00475872227640268,-0.00992474997355498,0.0020591269499952,-0.00890763329618453
"5",5,0.0064247384517767,0.00335659914622583,0.00737332426551489,0.00824700060847958,0.0116343498039151,0.0114323343764407,0.00590135750160358,0.00656750442038519,-0.00870721286723803,-3.99425557731199e-05,-0.0112508529602126
"6",6,0.0105457384894955,0.00664668924207652,0.0069691736081487,0.00983748594941858,0.00716580863505271,0.00833725712845869,0.0019485400389004,0.00447358199374177,-0.00688317104070408,-0.000853684680133104,-0.0100160433143352
"7",7,0.00810559139482659,0.000437158662824466,0.00967725096264043,0.00695871822651793,0.0087014250275306,0.00853460514263465,0.00108040766762016,0.00801416577094397,-0.00847157571788299,0.00674646202230882,-0.0100929955217256
"8",8,0.00832482042263827,0.00548596856558475,0.00886640433377778,0.00968779481195899,0.0132603196314837,0.011007366230467,0.00199296472325128,0.0046056886267258,-0.0120644886381731,0.00154192480431691,-0.0108080517408887
"9",9,0.00753748874113805,0.000873004860325577,0.00639823278493643,0.00520506491295415,0.0117097088478913,0.010656368386843,0.00284659549107673,0.00329203234696773,-0.00884265056530501,-0.00185003529774585,-0.0137203040190457
"10",10,0.00890622981015449,0.00615040110048154,0.00763161940464053,0.00892800078210238,0.00694899738160313,0.00832651203244078,0.00420405809325243,0.00608886387007212,-0.00376643788293288,0.000400433437490396,-0.00348131199288451
"11",11,0.00974973036102426,0.00435664626651814,0.00686431895093842,0.00758090317519944,0.00692227276280658,0.0116708298217911,0.00410214384129378,0.00436917223537718,-0.010584589289604,-0.00249640396971468,-0.0097797472839326
"12",12,0.00773908146640277,0.00103791509814736,0.00396469287543066,0.00447590533492794,0.00904758963235763,0.00339080815039034,-0.000630695853328506,0.00350348388227788,-0.00698311466159619,-0.000863146159315103,-0.00999495897833969
"13",13,0.00839453517804915,0.00433805895594152,0.0103322058805842,0.0062289876262193,0.00696255605995543,0.00982864623709818,0.00484417302414064,0.00546782416087089,-0.00351992524290996,0.00620437565076238,-0.00687576181164108
"14",14,0.00804363102952069,0.00541206965273134,0.0091877802035577,0.0111794947651405,0.0108119189350168,0.00824964063990274,0.00201516058338149,0.0061931528026955,-0.00962260742017295,-0.00121555457803222,-0.00881532754298441
"15",15,0.00674841214149704,0.00422636052116843,0.0106715887291633,0.00913253660708892,0.0127978373618748,0.011599317059897,0.0085130616855786,0.00540780281487568,-0.0118565005139654,-0.00324424756665157,-0.012721436168483
"16",16,0.0105916532357129,0.00206684114692949,0.00855994362214503,0.00944718793897169,0.00971905087101678,0.00895087512000485,0.00244082003815632,0.00898450034513872,-0.00838644999621778,0.00130046730453654,-0.00786241508591225
