"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14"
"1",1,-0.00914885630104357,0.00420457649043367,0.00600382602677949,0.00447626480225663,-0.00315695104665832,-0.00433354148804883,-0.000533847656553756,-0.00432950642673104,-0.000378330095103368,-0.000941163920434792,0.0092856077323022,0.000480153291648481,-0.000902694935926936,0.00119111297939547,-0.0010020870879514
"2",2,-0.0093517636162682,0.00574824146487841,0.00461879001926123,0.00533959241947862,-0.00025907978067108,-0.00234388441664714,-0.000400530327260546,-0.00450225481372515,-0.000213196859252716,-0.00254743058315279,0.00667883437534766,0.0029094397623557,0.00212662527964866,-0.00037351922537572,-0.00206636344778291
"3",3,-0.00763913882583226,0.00756870479245023,0.00189870316718286,0.00502633754546324,8.22650191068586e-05,-0.000698007926941138,0.00146545143323461,-0.0032544731475556,-0.000939916750172972,-0.00123864183377685,0.0066776615171421,-0.0013213882252676,0.000544498324736078,0.00077962882048747,-0.00239958877766076
"4",4,-0.0108161775089563,0.00491683104161658,0.00160046995976033,0.00230508040661459,-0.00458322263529481,-0.00731811868394076,0.00232508858160774,-0.00575534601290245,0.00203073362786164,-0.00209253810012464,0.00959070198362388,-0.00268857899246689,0.00249119400578104,0.000816822215170602,0.00126451726149813
"5",5,-0.00756894685065027,0.00487142341288706,0.0011954291343634,0.00853862207303875,0.00129560375029742,0.000708992155547351,0.00210313590676675,-0.00217179316063942,0.00224956480072711,-0.000616696878449067,0.00897477241391224,-0.000982106030851622,0.00158587894565408,0.00567570819952067,-0.00347966588101166
"6",6,-0.0074088966116785,0.00573335943740858,0.00174714425008452,0.00378653677959074,-0.000602426183320085,-0.00278710213145967,0.00103089123331127,-0.0041398044641099,0.00138914130605544,0.000286397561780736,0.00598214953021367,-0.00232247135942512,0.00163475068161021,0.00372029388382913,-0.00123153949016703
"7",7,-0.00756385108906089,0.0060623464114606,0.00416560012581222,0.00285357414687322,-0.000607437049668911,-0.00474540341911186,0.00346644155522188,-0.00173034118494988,0.00331672072324904,-0.00433988582333141,0.00565819309897765,0.00160449709479362,0.00231788502639839,-0.00483555170724067,-0.00104812113329972
"8",8,-0.0071673494191749,0.00255873863983952,0.00179782855918992,0.00478985826788001,0.000944894874763583,-0.00118560911091797,0.00226539969364945,-0.0034177352785495,0.000824521610471721,-0.00339500146289277,0.0048564663738278,0.000510638377808831,0.00182126971610135,0.00235128923863832,-0.000419216706708937
"9",9,-0.00948602572105529,-0.000604832252613537,0.00176054439013866,0.00711456815797379,0.00114155537921651,-0.00151975603180826,0.00198512360190461,-0.0015893163455928,-0.00131627467387649,-0.00473589138007618,0.00449298606754896,0.00213606477715314,0.00151700283326221,0.00233171282343559,0.00200642451575118
"10",10,-0.0073338692738949,0.000653539473023231,0.00409769564857251,0.00141912122439759,-0.000575862267660364,-0.00485465159368945,0.00126086128792414,-0.00457726772515559,0.00186698884728678,-0.000616282076160924,0.00908293308221075,-0.000846582571633942,0.000866759388489184,-0.000228705749160228,-0.00285272193150057
"11",11,-0.00628890936120816,0.00125353222291893,0.00751843260433495,0.00118856858989065,0.00426864699952753,-0.00606293413104557,0.00145206768285136,-0.00571705059323944,0.00177511737746653,-0.000872841333202718,0.00973417336846444,-0.00138237667568361,0.00241917779562433,-0.000881466268511217,-0.00185166021855493
"12",12,-0.0105060843884523,0.00602274340314124,0.00233644954931438,0.0037163322429396,-0.00281275736335444,-0.00235033328396593,-0.000219961246248118,-0.0036772974482896,-0.000153298814486019,-0.00137984344866922,0.00693785687252509,-0.00245625441156873,4.08215515592471e-05,0.00332466793866729,-0.00184303577834028
"13",13,-0.00469484299502404,0.00507908159331877,-0.000906997527545742,0.00522953440016538,0.000759264038517489,-0.00106586423209212,0.00234974223950475,0.00127024988223632,0.00322462977485604,-0.0013931429578451,0.00404504242982918,0.00165470637091742,0.00361684228883479,0.00240322881112853,0.000398717473251909
"14",14,-0.00658942506128173,0.00406115828641096,0.00415211595247442,0.00395817281402729,0.00137269436813769,-0.003120910548901,0.0016481475785294,-0.00591895427645907,0.00182366304406346,-0.00239328177092826,0.00938313697292128,-0.00292786882464863,0.00187471975152903,0.00345131362612892,0.000684935441534445
"15",15,-0.0115560930780264,0.00536899926157191,0.000549517771741812,0.00681289548338189,-0.000425708378213886,-0.000256528592718337,-0.00194478214590818,-0.00617904164689112,-0.00246860446364956,-0.00374393125790083,0.00760989601084181,0.0037185905370069,0.00294020070764893,0.00120120170688212,-0.000733785485485589
"16",16,-0.00989013451308501,0.00324603184714557,0.00337685998449096,0.00231126115189493,0.000802295668635472,-0.00250925278768696,0.00103723604274941,-0.00659606127960783,0.000567657043577567,-0.00329519287396564,0.00766471169075012,-0.000923102277309932,0.000813425006858518,0.00218908179190358,-0.00266823793976511
"17",17,-0.00943582668939893,0.00401505114562783,-0.000291557634384171,0.0060958786607549,-0.00229879192648724,-0.00118967597921997,-0.00276323719714388,-0.00381587217160565,-0.000530556061098917,-0.00280311220551894,0.00548564842721143,0.000252925712256212,0.00108901860223795,0.00394253400768899,-0.00353378113327197
"18",18,-0.0100019788738818,0.00596594304896325,0.00373703631350721,0.00624172796976622,0.000113572891840125,-0.000834428163840043,0.00144211601381717,-0.00384278516458637,0.000610431596221577,1.96238662192618e-05,0.00940952849797868,0.000279523936426808,0.00190144109192451,0.00260724528562549,-0.00249434749208365
"19",19,-0.00953091936448208,0.00526225949625877,0.00405206632305375,0.0037693629708362,0.000844859512352894,-0.00534326087984396,0.0026491351525899,-0.00579029474234378,0.00306181932688186,-0.00458087412943821,0.00838703095874724,-0.00235088088922471,0.00140677107611882,-5.26971961213879e-05,-8.01412759177819e-05
"20",20,-0.0101505205931086,0.00356068264925477,0.0017148423786627,0.00626887185674738,-0.00130570585482512,-0.00264319445877354,-0.00154061804005308,-0.00594968335068349,-0.00249914311421583,-0.00348937330354515,0.00723617431158874,0.00167354637370636,0.0010623943459503,0.00379817265966675,-0.000515383664541213
"21",21,-0.00811689445164638,0.00142048081501803,0.00370729451623022,0.00340305201308537,0.00140329402781335,-0.00430007987000505,0.00173871641237459,-0.00468690467323789,-0.000497103155680422,-0.00360784058229358,0.00529174296335174,-0.000843470074322762,0.00420839174708849,-0.000327741208367139,-0.00141362367147488
"22",22,-0.00784685063235354,0.00478186068328071,0.000763650765928355,0.00241484909496232,0.00172927458912187,-0.00536290130967215,0.0019475324150124,-0.00418403784717915,0.00305396912712123,-0.00276504109663237,0.00828598305851976,-0.0010191899713596,0.00540788477671943,0.00299429547953038,0.000222663816235568
"23",23,-0.00532710979424512,0.00614909068031546,0.0010577257421773,0.00339252098005571,0.00364411800309228,-0.000737100871254464,0.000566466143573293,-0.00276663831630374,0.00119744014694317,-0.00402749009612431,0.00760251651664521,-0.00156142020143926,0.00172456003428972,-0.000333632071165355,-0.0013530816965731
"24",24,-0.00861820819052306,0.00282583687218039,0.00491730810746755,0.00544679677363469,-0.000842983363089972,-0.00349768057276853,0.00254237101317405,-0.00530120056619457,-0.00182930101971608,-0.00426491232048176,0.00784498932752057,0.0006011591905076,0.00189946476476727,0.00184570230385554,-0.00452031988035687
"25",25,-0.00861359704705807,0.00359468543331307,0.0010161646385547,0.00530063866279897,-8.70731680460647e-05,-0.00660279214866626,-0.00059023956478784,-0.00580253551169694,0.00609548640512607,0.0012849206250473,0.00709871171105983,-0.00255989540265709,0.00374834517399236,-0.00184504181009632,0.00260106727672474
"26",26,-0.0108814068553761,0.00221831425346952,0.00341939675290589,0.0036167979801255,-1.04948526838515e-06,-0.00375321189590638,0.000847095810091653,-0.00531495952151913,-0.000104111273940955,-0.00453368477431515,0.00891170633476971,0.000975119015249324,0.0017300793522332,-0.000868040282541349,0.00162293510260616
"27",27,-0.00742435345624341,0.00618680251827116,-0.000785916049418471,0.00138726214180292,-0.00013484737490266,-0.00158252619906751,0.000614912247060064,-0.00235780467451119,0.00225819292425211,-0.00386562075843612,0.00518571032322143,-0.000745134474706482,0.00132435883811768,0.000803569568722084,0.000945018937833142
"28",28,-0.0134104328684559,0.00476793274391524,0.00230696488088161,0.00578697400301493,-0.00207198686187707,-0.00503282296551058,-0.000539229363905787,-0.00740363686537007,0.00239586444486773,-0.000378340340261222,0.0114673169750999,-0.00246758687750896,0.00199524604514355,0.00475418259564223,0.000870964846232972
"29",29,-0.0111957026320408,0.00192601377307281,0.00471397121929,0.00458887321670677,-0.000303791986990102,-0.00512337580618175,0.00274860015574265,-0.00486490603108266,0.00085774456111033,-0.00239121715550025,0.00783371523772756,-0.00164498904185545,0.00167934199394674,-0.000180028054970148,-0.00219701590876212
"30",30,-0.0107123565651685,0.0022382190919309,0.0045414706810393,0.0039843267614724,-0.000457626749794143,-0.00521620546567526,0.00163886665803088,-0.00474869393850628,-0.00156727497207844,-0.0050018926696733,0.00858411683154697,0.000439845040104524,-0.00155009864074922,0.0024575886476953,0.00262618130819491
"31",31,-0.012684078327961,0.00244417987775961,0.00151455097704509,0.00558783211180033,-0.000564963004838893,-0.000808779091262736,0.00265691520665359,-0.00307408478660501,0.00290653891287661,-0.00295392109215902,0.00622669847703268,-0.00081604497828245,0.00295952305021386,0.00376458199165244,0.00212473742866075
"32",32,-0.0102161293820556,0.00354027827860673,0.00133100815570565,0.00527824878778207,0.00250671557801801,-0.00255933838577021,0.00213554389070598,-0.00434067744139372,0.00273329001669062,-0.00365399615611623,0.00615327867235532,0.000986930938825059,0.00348329146608778,0.000452032836649891,-0.000250461064048882
"33",33,-0.00781994962320453,0.00557635508111133,0.000458131503498763,0.00154669077400214,0.00138538652366788,-0.00509800451992172,0.00185855395412312,-0.00398700446665008,0.00094098076377792,-0.00221614298766915,0.00679452111111324,-0.00134717844501516,0.00376660459655207,0.00270827350656969,-6.59234636328117e-05
"34",34,-0.00792784794374322,0.00430931710382199,0.00439577307775079,0.00466941557707905,-0.00152887895816309,-0.00337788145544848,0.000340432790597098,-0.00483095209241971,0.000984097754536921,-0.00153316573560517,0.0106124489480562,0.00136894369166718,0.00285069704844179,0.000151420339258173,0.00194744992045152
"35",35,-0.0100211290663846,0.00537808674139299,0.0022103671513479,0.00626941869794045,0.000155655023153824,-0.00432418927957908,-0.00135905396031249,-0.0045574576215464,0.000999696860499218,-0.000963925593777463,0.0117041722693417,0.0015867364522733,0.000200429128623873,0.00248092887304635,0.000506449434811722
"36",36,-0.0110175432119546,0.000884715695345215,0.00269334362412456,0.00335930136692707,-7.52178826881052e-06,-0.00366117282644836,0.0033968588551578,-0.00360502766069886,0.000678927218369593,-0.0057325282864749,0.00668006944515285,0.00106508938838213,0.00381286468205491,-0.000588463054197317,0.000630926786984885
"37",37,-0.00737596930329459,0.0054859405212039,0.00424472602728471,0.00656529924005572,-0.00233008643487743,-0.00142406263618092,-0.0017011921585774,-0.00122100947745311,-0.00197303362663053,-0.000650833687016946,0.00654832086884918,-0.000725714633636413,-0.00172296318556746,0.00366430925511216,-0.00461582935608724
