"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13"
"1",1,0.00825623316251093,0.00592660030537327,0.00619336375312529,0.00906487309693058,0.00998274779708602,0.00938696916043183,-0.00246943027212259,0.00109451759175768,-0.0113354344801211,-0.00526296817731193,-0.0110525544655723,-0.00754543362568959,0.00327400539023252,-0.0021381069943954
"2",2,0.00816778204327096,0.00508241824593474,0.00948505651078345,0.0107187563512242,0.00933778178452578,0.0107672717846653,-0.000201118723282142,0.00239307596131021,-0.0105407705046586,-0.00583463059387136,-0.0139261445552044,-0.00957974101597985,0.00111992976614899,-0.00345850515379477
"3",3,0.0106042495984569,0.00484197408161953,0.0104072411848596,0.0101561266677637,0.0117067002000243,0.0144124561440891,0.00523157454883788,0.00929990505282651,-0.00691335017856145,-0.0040820262575059,-0.0138783850399289,-0.0107695304729762,-0.000972944343880869,-0.00610935919567428
"4",4,0.00991521531744921,0.00659042767450346,0.0107675251519012,0.0103752707856013,0.0135311379128662,0.0114498879910572,-0.00293562973815594,0.00531079779559224,-0.00867355420302164,0.00119741101569558,-0.00760351101223016,-0.00310164983916479,0.00524003203856198,-0.00361751841518977
"5",5,0.00720656417605889,0.00493556504717242,0.00862026434420222,0.00976777117256019,0.0142768869163949,0.0141926654028865,0.00723491990864341,0.00829841740566241,-0.00833678648570198,-0.00111415710216627,-0.0121480650603811,-0.00526423082807762,-0.000810995800650822,-0.00460004634853578
"6",6,0.0104398940277005,0.00819965839385596,0.00726745841495458,0.0111142913838783,0.00901639209375605,0.0117988979854023,0.00336865674755677,0.00533759773566177,-0.00628216979381768,-0.00383545122946562,-0.0118220952908331,-0.01028729205628,-0.00196062434046781,-0.00512278554493293
"7",7,0.0075955770192138,0.00117767350199471,0.0097524978944031,0.00883305380199001,0.00788310255904022,0.011400304899511,0.000386028162921338,0.00777881456034841,-0.00728059603648445,0.00383330709373022,-0.00974913969497541,-0.00930697035088655,0.00186588630516226,-0.00257328038074598
"8",8,0.00675609644015408,0.00409338583844508,0.00736557096894269,0.00867720810016994,0.0139387496088721,0.0145331272028729,0.00294428904535559,0.00581724513508271,-0.0129671241498586,-0.00228625560172137,-0.0144210211102361,-0.0124481483904436,-0.00201834642946341,-0.00664122218623293
"9",9,0.00723472333387554,0.000383255376082094,0.00666462855643157,0.00582792815024233,0.0139745110533068,0.0158818128472807,0.00392011910578972,0.00420671609268264,-0.00938070010845808,-0.00555345959385081,-0.0164511413658161,-0.0128215321358501,5.68289849464535e-05,-0.00376608466572865
"10",10,0.00948059528793157,0.00884474465863089,0.00879028943860045,0.0112330774364767,0.0087545491000429,0.0114084021494091,0.00435968008082025,0.00628617906347613,-0.00250482731560496,-0.000229416717491287,-0.00294931968582971,-0.00377775258588175,0.0033616572819442,-0.000367322721161445
"11",11,0.0100201626019737,0.00686469164778961,0.00763322500837789,0.00983421315705418,0.0078673241931342,0.0163697881485743,0.00526484454190913,0.00479439126075489,-0.00893828270133745,-0.00579448533197447,-0.0101996694746701,-0.012190170084427,0.00129376129879223,-0.00248880093446607
"12",12,0.00864410058117311,0.00339725075752569,0.00589949823258884,0.00655920002743909,0.0106332334459233,0.00624137485032136,0.000225926602611019,0.00586868323459295,-0.00563665072801747,-0.00277003796295792,-0.0102609743332588,-0.00927556127661106,-0.000725116497759492,-0.00753206978344884
"13",13,0.00864563938471969,0.00502314830601508,0.011546182011481,0.0079416728773697,0.00904100401737382,0.0127677906437834,0.00536962736880003,0.00629633987465197,-0.00390260810249313,0.0040980284675955,-0.00874044361939729,-0.00765315768891827,-0.00162374952364522,-0.00441443718053917
"14",14,0.00882832949816384,0.00838019011689539,0.0102669833579068,0.013261604420406,0.0138190980182068,0.0120591854297044,0.00268158122422023,0.00681367207913423,-0.00895904954406801,-0.00371321910433041,-0.00961713030545098,-0.00784886654427986,0.00210234153516472,-0.00398662585895436
"15",15,0.0087131714427178,0.00621872967727108,0.0142456504787887,0.0133487011900649,0.0167620926207102,0.0146219067445728,0.00656317838539092,0.00546908422799889,-0.0125438009333278,-0.00467258422436396,-0.0127240466671422,-0.00411836742128546,0.00445177677919307,-0.00313837884972553
"16",16,0.00979898623596207,0.00246772141528934,0.00803596987793925,0.00978995961190494,0.0105047298999201,0.013056238437578,0.00285861220789413,0.0107676100896751,-0.00781294711802249,-0.00207575256723936,-0.00927070421294669,-0.0116665043414839,0.00144484099453311,-0.0072929075643818
"17",17,0.0108160851627426,0.007438032005147,0.0120210174836474,0.0119195411594404,0.0160609970991193,0.0156428847971938,0.00453574517689731,0.00980415974781186,-0.006164533089304,0.000781440452369193,-0.0107421238191334,-0.00635570098178851,0.0018028173323464,-0.00246102733910252
"18",18,0.00846665451449268,0.00573385030775916,0.00904900895981801,0.00901205563854701,0.011456224098778,0.0112027531236917,0.000979942650865229,0.00930007518462247,-0.00849520263550857,-0.000930031778255689,-0.0144120028844915,-0.00794446114295334,0.00017389913723269,-0.00610110814663685
"19",19,0.00985653699148357,0.00573070647567712,0.00983313566588477,0.0121488214685644,0.0129637135761021,0.0171523367041498,0.00446326048030231,0.0112645878500847,-0.00928913512901602,-0.00351178589291956,-0.0155691057159053,-0.0144116091172067,-0.00342327058085209,-0.0079392744970571
"20",20,0.00971429287850667,0.00705204193406036,0.0111410886188372,0.0121613827460296,0.0143572012460886,0.0169404740881746,0.00831913945674278,0.00651361882927096,-0.0114356305704378,-0.00663737891692285,-0.0142179355461873,-0.00930325133689729,8.13821842199449e-05,-0.00311226591029677
"21",21,0.00929781875166064,0.00434531814174722,0.00551816308990287,0.00978384058640002,0.00868404912323846,0.0150145879463601,0.00624550429813237,0.00892772987092925,-0.00475237933732675,-0.00385464561330107,-0.0125631214427585,-0.013647703384802,-0.00239625279074268,-0.0037127579371939
"22",22,0.0077481236925195,0.0051333370250862,0.010226601653313,0.0102379045597428,0.0109500106813917,0.0103537197551137,0.00043441719881325,0.00190266456972495,-0.0126792379337499,-0.0045313612658984,-0.0121986237390202,-0.0100434303862262,-0.00207650047377545,-0.00671916748041103
"23",23,0.00891506826172546,0.00343338666872707,0.00926922031352772,0.00828508600016863,0.00663940051667931,0.0126919514403478,0.00590955988073866,0.0060546079236173,-0.00971989555245683,-0.00351069056185053,-0.0138889518074253,-0.0105972655515871,-0.00141652875710254,-0.00484880771505396
"24",24,0.00819576315447541,0.00704889228344224,0.0111929938464163,0.0121910777693319,0.0163357612165659,0.01650525345755,0.00738393264362767,0.00905565051207089,-0.00591082180362766,-0.00238469488597167,-0.0111131863070381,-0.00977014970274985,0.00203030362780113,-0.0026138469016218
"25",25,0.00958666263787056,0.00501221190507521,0.00948878372673075,0.0103207931974994,0.00926869487764107,0.0173191982827415,0.0051630670215765,0.0104258588102569,-0.00258433023978485,0.00471639844297661,-0.00477018763359111,-0.00642682570649819,0.00326681711902871,-0.00233715515750894
"26",26,0.00813125737621694,0.00373924371420657,0.0109417414462684,0.0121424764747685,0.0125836900683227,0.0155662208799694,0.00353942291717337,0.00563556801150021,-0.00889129930732752,-0.00622035868582502,-0.0124565593792371,-0.0124946905743853,0.000656211940486615,-0.00232961835272977
"27",27,0.00986717339240798,0.00332465578943743,0.0140452154303822,0.00961491894963172,0.00933839368193966,0.00996584020036973,0.00379714621810442,0.00632786432734595,-0.00917778906564166,0.00129782938149071,-0.0073775439973977,-0.00770313285706438,-0.00101374647908017,-0.00674350839103653
"28",28,0.0115095320417134,0.00694622100294476,0.00885891774745314,0.0103671500441772,0.0136286625827654,0.0121016429612515,0.00077857975021193,0.00823221003304785,-0.00894651754040977,-0.00146409433711241,-0.0124043063519697,-0.00570664818600466,0.00412964364367234,-0.00742504425410481
"29",29,0.00897288688563068,0.00386074857717672,0.00480797488444493,0.0088723279794467,0.00823213514571804,0.0165280247003127,0.00588723947296574,0.0075719952934146,-0.00900080333478804,-0.00375803876643815,-0.0128915017228976,-0.0135421568250911,-0.000680279651091223,-0.00478948770907526
"30",30,0.00886140833571404,0.00868096878943228,0.0139827732482652,0.0161232539087822,0.0165173014200092,0.0191017401512608,0.0029416534275878,0.00447310598452592,-0.0122019993010955,-0.00555511730798041,-0.0147235726751496,-0.0124575208364293,0.00172015511004613,-0.00726565118743671
"31",31,0.0082282743563614,-0.00033118845232538,0.00454787490003985,0.00652283058702538,0.0115834640686837,0.0133916109727576,0.00224316179458909,0.00561230038220527,-0.00882037214243767,-0.00235354796920242,-0.0147953459236748,-0.0114711406327683,-9.19785025482766e-05,-0.00460489949512941
"32",32,0.00627080816293726,0.00196726202900014,0.00722994838694674,0.0100377524021238,0.00966559291074298,0.0158682897216575,0.00431881962048646,0.00715210384599711,-0.0103048644772078,-0.00301249083189702,-0.0135943579714821,-0.0110023857567022,0.00149064010746082,-0.0039734884097163
"33",33,0.0105003881518057,0.00609475613751656,0.00760268658478363,0.0088447179218259,0.00659582822329511,0.00760495972171241,-0.00108995174448253,-0.00108971245986,-0.0107702953431267,-0.0071251112339679,-0.0117247449021926,-0.00870282231824718,-0.00209032462309891,-0.00442339146287099
"34",34,0.00818240040130382,0.00542319381982576,0.00713842458114773,0.00995982312349588,0.010470920870231,0.00739980390774464,-0.000852783877258663,0.00270134270880722,-0.00878937411702587,-0.00179401464084266,-0.00737587693594279,-0.00397982642127815,0.0028270497661785,-0.000661411088418348
"35",35,0.0137158878534659,0.00772094269845286,0.0147912382048047,0.0135563527680872,0.0144957942958799,0.0172979907165734,0.00507797626522489,0.00668442180503704,-0.00879263574495958,-0.00273266625738916,-0.013182499841959,-0.00830493933042138,0.00122984494872858,-0.00526378246218911
"36",36,0.00578777798627506,0.0028391999343715,0.00635830371363315,0.00841954785179603,0.00944967497506063,0.0135936422503628,0.00459949304479235,0.00465106681973391,-0.0120410530536462,-0.003835619486898,-0.0118921191490013,-0.00990723020909074,4.32131754399241e-05,-0.00314084059535914
"37",37,0.00891583075657571,0.00625071098313512,0.0101627672223887,0.00949194074611125,0.0121140680225878,0.00824402664605271,0.00461312323074138,0.00442057662526891,-0.00758798367415356,-0.00423044338461437,-0.0117706679311112,-0.00573307286384828,-0.00298681281808812,-0.00525490727170854
"38",38,0.0090851787966739,0.00986724232011852,0.0109314873570632,0.0105861014492801,0.0147047527215858,0.0115269295042584,0.00422334507796255,0.00842684542481303,-0.00586363659293856,-0.00309124576221401,-0.0115601375318566,-0.00848346310426895,-0.000604812288039698,-0.0032813483391848
"39",39,0.00595208627272699,0.0038254862331205,0.004768239120404,0.00710906491437071,0.00831998934123135,0.0106914886503701,0.00103798327523852,0.00308957823162512,-0.00585395554009936,-0.00428344211255198,-0.00656692122099353,-0.00727473990536328,0.00531184963082297,-0.00135701387159451
