"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11"
"1",1,-0.00573443077447821,0.00355736305570316,0.00311311247762877,0.00555052183729442,-0.0002654432945718,-0.00248224631923905,0.000127280389898334,-0.0023195096756519,0.00237340879336259,-0.000402769056136777,0.00581111298526191,-0.000253096441242762
"2",2,-0.00668093083700782,0.00529997004507573,0.00165042867750974,0.00580511161211628,0.000412671236740491,-0.000685537941245537,-0.000815903034482765,-0.0020782948829579,0.00081520349329052,-0.0018000243270786,0.00380008388467124,0.00259537301395719
"3",3,-0.00631148489862629,0.00546144989375367,0.00121430963545941,0.00622392555705022,0.00122625648859555,0.000287687517339693,0.0021160197185605,-0.00152169803156347,-1.43366520360557e-05,-0.00192595019705169,0.00495641766772073,-6.58697784170494e-05
"4",4,-0.00783361392119729,0.00462577109742157,-0.000946474105886658,0.00425669261539364,-0.00326190028008243,-0.00456809094072633,0.00161829154225832,-0.00306161282558216,0.00332285835214197,-0.00168116888457282,0.00566010522606317,-0.00246511563833304
"5",5,-0.00607056001834826,0.00353902265874956,0.00111560491233038,0.00871654749607914,0.00327031560937893,9.28915708531504e-05,0.00276475906026191,-0.00266752025048223,0.00399654204478851,-0.00195597923300085,0.00801817647238485,0.000454832672139011
"6",6,-0.00564232920918651,0.00450140737332029,0.00097850026968669,0.00492962387873275,0.000771191537887191,-0.0017962027474675,0.00141248594324284,-0.00309913603425754,0.00231082876733888,0.000283919403383745,0.00475149640290995,-0.0011540421458494
"7",7,-0.00664350893794442,0.00612784423724177,0.00181672223667472,0.00445675140096543,-0.00133873442391303,-0.00202951242347185,0.00189580257465113,0.00164637099810024,0.0032628086920278,-0.00285272282548976,0.00356150617080235,0.00116379241293457
"8",8,-0.00552958151231545,0.00188297297018968,0.00100374229768135,0.00536869294014945,0.000858200112684725,-0.000344551951137053,0.0018697239541917,-0.00219983231422295,0.00079801316603313,-0.00270282673768888,0.00378801730004022,0.00126902435975156
"9",9,-0.00848516024011934,-0.000431953119319259,0.000840787560848438,0.0072864130113596,0.0011404527970551,-0.0015947891154873,0.000906396371039291,-0.0020039870132024,-0.00126277449785847,-0.00549391876579725,0.00319276921003051,0.00304799291238607
"10",10,-0.00516088845033786,-9.31760570013667e-06,0.00224659487678656,0.00166157844756288,0.00130684549016306,-0.00350737635740495,0.00222879942709594,-0.00301753679648371,0.00461968405994549,-0.000690187693918042,0.00604899206329093,-0.00187520726859503
