"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15"
"1",1,0.000341182700810315,-0.00615689771439723,-0.00834783550526155,-0.00615001527782649,-6.95361874143484e-05,0.00306242221444254,-0.000323711990071112,0.00138325700016292,0.000152452275897944,-0.0013735669302017,-0.00715185881641715,-2.78586262731129e-05,0.00268858049660304,0.00370872031252156,0.00661581225592517,-0.00448360736063385
"2",2,0.00353439095573575,-0.00907244782483242,-0.0057182819533866,-0.00687674749267948,-0.00352951210720644,-0.00432313055947236,-0.00238619959590428,-0.00259072423460272,5.99172532311328e-05,0.00269324918300167,-0.00287530224011645,-0.00296711880257103,0.000309503656059196,0.00382314372141322,0.00440516281660045,-0.00225685492426774
"3",3,-0.00194798164592923,-0.0114756638016863,-0.00363134536816106,-0.00653934015876552,-0.00194010643328211,-0.00345735915354125,-0.00507031266549773,-0.00270082610730692,-0.000152888137838094,-0.00111851467300662,-0.00338486741413819,0.00280790682449599,0.00140132417954663,0.00503046305931984,0.0051156164265116,-0.00353708621296882
"4",4,0.00132872104238019,-0.00705474050906965,-0.00145289974417221,-0.00158457760565161,0.0017550546123278,0.00620326031898024,-0.00523206902569161,0.00028624094979325,-0.00345803043210845,0.000132669079430545,-0.00693684059601612,0.00577780907828384,-0.000314787309976988,0.00271892277727397,0.00363541906912574,-0.00864084695750361
"5",5,0.00218940369571732,-0.00743301102335384,-0.00183041471351412,-0.00990409892515373,-0.0080663844555273,-0.00470951312836409,-0.00728040089191737,-0.00152459525114568,-0.00767471512116358,-0.000589377418840293,-0.00960331000321492,0.00311729350261793,-8.18640406157923e-05,-0.00502822883734384,0.00592943614063662,-0.00200792760203763
"6",6,-0.000612039569106438,-0.00880599112813132,-0.00253873330017656,-0.00551425185271726,-0.00316173529922844,-0.00154219054241282,-0.00397958526628682,-0.000315300089003053,-0.0025523221193025,-0.00235432603561869,-0.0045978355072329,0.00602714794104139,0.00134030318326289,-0.00144994626724337,0.00571505211258015,-0.00452530297534782
"7",7,0.00123486059506685,-0.0085426151762561,-0.0065516827981692,-0.00570973309945129,-0.000681470660290623,0.00329813845210769,-0.0039789496918648,-0.00299188318866535,-0.00273260878244671,0.00395366668720301,-0.00217648063079326,-0.00241720166952717,-0.00217334726466587,0.00959525446299669,0.00832187949364726,-0.00308223972544961
"8",8,-0.00158601941469609,-0.00485726044886179,-0.00456535074765661,-0.00659968712021939,-0.00401828020509428,-0.00207955495213333,-0.00517140024963252,-0.00169874893166593,-0.00111755713608266,0.00181575050303147,-0.000892590212745803,0.000244851870513733,0.0028077688045558,0.00161335514928377,0.00545591645651108,-0.00323955066586309
"9",9,0.00336342440855808,-0.00165592539315551,-0.00289189783527543,-0.00878880530074606,-0.00284639287499502,-0.0036641160639393,-0.00499808302668705,-0.00399394721854224,0.000353778975897298,0.00412423761037931,-0.000837870341039848,-0.00183234423854021,0.00203255172302781,0.000706082439549794,0.000260337542203066,-0.00360730875196378
"10",10,-0.00187190774525854,-0.00189549221541192,-0.00490311946880721,-0.00358570243239018,-0.00368335917883411,0.0018550339747271,-0.00372090884815041,-0.00110594638833535,-0.00556560572729255,-0.00189121496491241,-0.00678884836128242,0.00340348228652237,0.000525552825585915,0.00512905539642458,0.00684997806356577,-0.00371803789312583
