"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11"
"1",1,0.00661853396864429,0.00357369439387483,0.00360644302200754,0.00566315662598724,0.00646418174881385,0.00867793743074004,-0.00117407518859867,0.000938859987812558,-0.0115638268128722,-0.00585103630025518,-0.012022632766766,-0.00980928237060162
"2",2,0.00835480970178832,0.00475697385853896,0.0100417136964057,0.00902994356615911,0.00844910172043568,0.0106290868267179,0.00114861515268242,0.00259926148676435,-0.0101974910058306,-0.00481222632529569,-0.0137329885803023,-0.00930673234554509
"3",3,0.00966002671465731,0.00324108936614533,0.00886281537613897,0.00760834661813439,0.010073811915149,0.0148640792601069,0.00621749280476243,0.00779967307747234,-0.00735013398436105,-0.00435120126137787,-0.0141317460505442,-0.0111332932011684
"4",4,0.0083275563745289,0.00386943522389189,0.0084318985187528,0.00579966881717032,0.00910241811913261,0.0101984309351357,-0.00061466579212397,0.00516661055676771,-0.00887801754225626,0.000798855683478254,-0.00903107506668695,-0.0055419600565273
"5",5,0.00644531872629081,0.00367610142489394,0.00768337539654635,0.00808307620542232,0.0116826597311422,0.0138168209385993,0.00721623684169794,0.007266853459684,-0.00810822018410358,-0.000927142420681736,-0.0118016050494143,-0.00568811996446526
"6",6,0.00971827946384597,0.00677040639453207,0.00602534072424484,0.00896666414233842,0.00651735008688592,0.0116554582699124,0.00353842601728612,0.00451971343252643,-0.00602584871802635,-0.00366776216516876,-0.0110864893437019,-0.0104219025885864
"7",7,0.00763943207390626,1.42645656022983e-05,0.00936996551856563,0.00638587455425452,0.00804734201979684,0.0111819458442352,0.00186905356277422,0.00778001552198305,-0.00817539075674598,0.00404145612751276,-0.0108751729797221,-0.00910089392979893
"8",8,0.0079424959214108,0.00499104494156448,0.00865921894684282,0.00899809333446673,0.0131286084325491,0.0148177491344314,0.00360446312190551,0.00498480898684371,-0.0115740757618627,-0.0011225756014275,-0.0121454336091475,-0.0109522001120648
"9",9,0.00725783355807913,0.000257093641785014,0.00695723498268219,0.00485954894326342,0.0116913482144599,0.0153773902327024,0.00454106241875894,0.00384949715900742,-0.00843882994214164,-0.00472635386895387,-0.0152519755770968,-0.0127448178450297
"10",10,0.00873245302359282,0.00696212601062668,0.00742444569881425,0.00860668556986341,0.00675892834077613,0.0107398570879694,0.00600742173678466,0.0069257204124812,-0.00262009289325871,-0.00047511927408905,-0.00389255272498361,-0.00571034598674747
"11",11,0.00939752804666175,0.00505401909840664,0.00654109561890886,0.00679257364347853,0.00635244075258499,0.0159029168353248,0.00649044367060715,0.0051632107788775,-0.00931487438051568,-0.00532454891279095,-0.0109337042683041,-0.0125243597637505
"12",12,0.00750953638811581,0.0016784412531004,0.00403655308367747,0.00408470597152344,0.00856717752414433,0.00654097104229959,0.000996203077425617,0.00406616843822945,-0.00613062235967292,-0.00280536876135445,-0.0107180018782196,-0.00909197362325525
"13",13,0.00856883269490194,0.00395108766131771,0.0111098718527703,0.00611562446096968,0.00709269666075333,0.0125222755208521,0.00572452907079804,0.0059116094101318,-0.00348346552421853,0.00462391976979195,-0.00779364875167231,-0.00750248288668565
"14",14,0.00778105290055492,0.00661261895774918,0.00876339936473246,0.0105232115720666,0.0102617890551239,0.0113348533826725,0.00418289537502287,0.00699641848333999,-0.0082860823765672,-0.00297914801619567,-0.00948146847157917,-0.00894215918370213
"15",15,0.00740179635104239,0.00403541813149196,0.0123564708551857,0.0094051232381892,0.0130393152669455,0.0137233387475997,0.00905709227574325,0.00607439966525066,-0.0121732772453824,-0.00420077179139087,-0.0134565172784698,-0.00591862801845471
"16",16,0.0103581215500939,0.0026151599652028,0.00872357764290244,0.0091845216159281,0.00943235985338064,0.0131459240054121,0.00470173952248346,0.00990737118827143,-0.0071128524453258,-0.00100085200657644,-0.00867905040620344,-0.0107427089900189
"17",17,0.0106510460433999,0.00692840369848256,0.0113050171615519,0.0110359715866176,0.0139084791854333,0.0151958204878474,0.00563911994866724,0.00998410914443168,-0.00534892181985545,0.00124595354221097,-0.00993827725994735,-0.00691627339519273
"18",18,0.00879405604758057,0.00562100426259612,0.00949096056685565,0.00776502252592483,0.00931812707586083,0.0110842001080136,0.00241615835117544,0.00871353862443418,-0.00742838633185433,-0.000104471678609686,-0.0130751971501304,-0.00777496369957953
"19",19,0.0101596736611072,0.00543551765401246,0.00995875976676284,0.0106566286052541,0.0116426878084279,0.0174790810847989,0.00503707837526581,0.00970915180863121,-0.00887199635200167,-0.00297917312921711,-0.0140375257093239,-0.0130374274496529
"20",20,0.00865819822836282,0.00529629480773169,0.0095793529985099,0.00961170865700533,0.0103205382605934,0.0160483628252919,0.00911758973223504,0.00640779268263607,-0.0105891755678692,-0.00650602421209748,-0.0132937355698898,-0.0106961360505879
"21",21,0.00876957460723655,0.0026221455690068,0.00489943662867706,0.00637656962151733,0.00669126693251956,0.0146811676148427,0.00657582411000079,0.00870947109618009,-0.00496798094034735,-0.00355907214416202,-0.0122597722264746,-0.0137217230249136
"22",22,0.00710199391401319,0.00328567976353559,0.00930899877976366,0.00693000008437123,0.00803214737146314,0.0103973927251221,0.00107895355597617,0.00120806464005417,-0.0122631646396564,-0.00427021202809229,-0.0115655969694349,-0.0106629801276511
"23",23,0.00890444612562672,0.00255998330805696,0.0087236510571516,0.00638069517549289,0.00566378824159807,0.0132910814104237,0.00700181589858179,0.00581706850830921,-0.00933065253506189,-0.0029599633833142,-0.0129738130545789,-0.0105645545580309
"24",24,0.00784471431024709,0.00640232986911551,0.0106971313638806,0.0105017568638205,0.0147345130953784,0.0162672567268549,0.00874831437030655,0.00933909514067892,-0.00562617386873941,-0.00160957723453684,-0.0111700051407982,-0.0100478658223706
"25",25,0.00791415199168305,0.00166095797780647,0.00647828099870408,0.00556809638307819,0.00627814244370945,0.0163658515960729,0.00701494550486659,0.010751748258625,-0.0033703839357148,0.0043551812144868,-0.00646348700443105,-0.00829672934233573
"26",26,0.00803405787290541,0.00254193185995733,0.010453962254391,0.00976203497404431,0.0102565375412535,0.0146865558998135,0.00446736655500065,0.00599343200195304,-0.00841951691393503,-0.0059147659886038,-0.0118996801129921,-0.0131395096209477
"27",27,0.00988615621408322,0.00234834529908978,0.0131718854989621,0.00828623818028102,0.00825595217887032,0.0107956725168823,0.00527551238396835,0.00566490384639011,-0.00860483365775636,0.0016096163791506,-0.00659571326776858,-0.00764257687663193
"28",28,0.0098353514800846,0.00497746561428502,0.00673231743647401,0.00715346816595541,0.00936425061603977,0.0116641865112167,0.00331603105450841,0.00732439881365538,-0.00856662704027692,-0.000946029506973766,-0.013118677652087,-0.00691918839003054
"29",29,0.00903220194458104,0.00326646046951721,0.00485255169857525,0.00703598895325944,0.0072998651438573,0.0165613068969458,0.00671215935196554,0.0073705977024636,-0.00885797518650162,-0.00294562956403263,-0.0126387893676708,-0.012670537882892
"30",30,0.00807566974151271,0.00769703525600037,0.0128619998545566,0.0142133235558733,0.0131967513855058,0.0188735155988106,0.00463919343548259,0.0032128087629523,-0.0115115874156304,-0.00496289046098263,-0.0142936809371195,-0.0128745638934228
"31",31,0.00899282899248999,0.000414809999115646,0.00618018078694571,0.00640051008753015,0.00959518065107457,0.01298494323496,0.0028885331885986,0.00539831410832002,-0.00727036535115814,-0.000957847937838152,-0.0129711545964313,-0.0110166190854631
"32",32,0.00614547262089936,0.000870375101003735,0.0071157106100522,0.00748249922232903,0.00757287489260179,0.0153215022428076,0.00578213426809958,0.00718707178742379,-0.00994088905216374,-0.00238523997730693,-0.0135018653088467,-0.0114504071999857
"33",33,0.00911153587312578,0.00407775336028934,0.00609550206216918,0.00571996010380669,0.00427886368698102,0.00749789626179642,-0.00109848375177382,-0.00185786633333986,-0.0111998616101324,-0.00669253190065558,-0.0118985381233619,-0.00879874806475234
"34",34,0.00672050311088235,0.0029202223355671,0.00504043717818254,0.00629517637725401,0.00720165076872975,0.00644390840622678,0.000512608609564966,0.00335933106892313,-0.00879271382802841,-0.00196631767034754,-0.00820548966734518,-0.00627318542175242
"35",35,0.0122998561481197,0.00549990746090765,0.0124202737005708,0.0103753502105994,0.0112738191359368,0.0171556892307967,0.00641219840529951,0.00572688724975282,-0.00893727488782772,-0.00295627354620604,-0.0135763493655144,-0.00971478283801469
"36",36,0.00569198888042444,0.00166538668132913,0.00650169519851717,0.00609455008308991,0.00872415119524754,0.0132675526469713,0.00516057441009931,0.00476994731258988,-0.0124023735049017,-0.00308901086169324,-0.01259137657459,-0.00953833108164664
"37",37,0.00848992667357298,0.00544635123615657,0.00915430086817369,0.00811725749874163,0.00978891597946207,0.0083119329764105,0.00464256499616512,0.00349080456243333,-0.00692444518204239,-0.00401244522692708,-0.0101521703288116,-0.00546291620670154
"38",38,0.00716774632107799,0.00685038460851877,0.00793897425459581,0.00674363119591512,0.010869286359374,0.0109785463713124,0.00469733778167232,0.007652631873927,-0.00623263792053361,-0.00389057337782023,-0.0119731979807331,-0.0104880841999948
"39",39,0.00478749277099394,0.00188378621505149,0.00326707747156552,0.00386532382650821,0.00546302995851219,0.00981481185926024,0.00314681997598956,0.00382583685505245,-0.00591180175426349,-0.00406327580826839,-0.00797975021940072,-0.00914003234162555
"40",40,0.00566194550414136,0.00359545316141504,0.00700357809789542,0.00806249153293193,0.00959287039400995,0.0142849682896322,0.005569966999344,0.00575838908535163,-0.00787591346189743,-0.00428135017185993,-0.0137472692270087,-0.00923877191438266
"41",41,0.0112677791364557,0.00699093435746165,0.00951493754858593,0.0105425921678794,0.0121715522394402,0.0125773655411155,0.00369921811132934,0.00792135248506304,-0.00685968407953832,-0.00121268860454449,-0.0108500349842624,-0.00661175268946508
"42",42,0.0112444780711101,0.00709303284784654,0.0116553410288985,0.0106953655125495,0.0130942253264428,0.0124205487312146,0.00444962923155301,0.0081085891334399,-0.00853928076688036,-0.0045486173107443,-0.0150026232058608,-0.0124754132037185
"43",43,0.00681115182045331,0.00505959019216445,0.00700540897771862,0.00729191225021334,0.00695547099765998,0.00817283090284914,0.0013482128469313,0.0043424885094654,-0.0107618110537391,-0.00346759514986908,-0.0106282765938669,-0.00886410250726792
"44",44,0.013722359034744,0.00632526481025456,0.0106201136101487,0.00810348926350368,0.0103208085138853,0.0120870173576879,0.00428506992105302,0.00779733981793531,-0.00655162447967062,-0.000126301588228252,-0.00839326470167728,-0.00780641557513842
"45",45,0.00735462619369597,0.00431728898833939,0.00859739506482042,0.00875284170104142,0.00679743888751849,0.00783169686312013,3.28349679988027e-05,0.00330604184239136,-0.009734225652491,-0.00448411546184346,-0.0116045149238563,-0.00944949329965113
