"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11"
"1",1,-0.0158295327078436,-0.0105904600676869,-0.0154223609468578,-0.0150579187515766,-0.0152211086622352,-0.0139621114534103,0.000801024041342679,0.00253781817391374,0.0190771338599436,0.0131014408562772,0.0129781189991939,0.0129379746417256
"2",2,-0.0181836579561271,-0.00840326768387084,-0.0229330485607433,-0.0180890793344169,-0.0168490543989122,-0.0187418975633844,-0.00361595174083188,-0.00174796960935132,0.0135691798954531,0.00766745170197511,0.0174657988215042,0.0133110685284179
"3",3,-0.0209949770407284,-0.00844206011533893,-0.0217386590128386,-0.0179085577342276,-0.0171651285498887,-0.0211653701876162,-0.00870554602101267,-0.00877779300361887,0.00832452633047322,0.0061780011073975,0.0120750895765231,0.0128661092488901
"4",4,-0.0181542949063976,-0.0118158738450209,-0.0227339675084706,-0.0151492837488602,-0.0170176506097329,-0.0180853987149883,-0.00210267446580053,-0.00514000986811992,0.0100885455031449,0.00105986371130721,0.00744273435995726,0.00820954133616075
"5",5,-0.0160601841491959,-0.00896109309405075,-0.0213668328439482,-0.0170680582047581,-0.0204070780509727,-0.0215329947913001,-0.0112245279896914,-0.00720054773635347,0.0114698149721023,0.00148674035147841,0.00985951428219455,0.00686186637509128
"6",6,-0.0197031977965754,-0.0145282316288208,-0.0173978257160391,-0.0195561259732669,-0.014253986582449,-0.018931661586341,-0.00890949049454517,-0.00575833369934826,0.00713199551669995,0.00677810701736487,0.0100973205471807,0.0134823824946823
"7",7,-0.0169969167356857,-0.00327902549920862,-0.0219082072589719,-0.0151982519681832,-0.0174910599619105,-0.0174904006922828,-0.00317591468642264,-0.00781569925464397,0.0126707955907601,-0.00222135787061533,0.0106210486570603,0.0137436139568805
"8",8,-0.0188999033195899,-0.0125720241730424,-0.0226135983316536,-0.0209494388124059,-0.0240819694694806,-0.0236438268324605,-0.00564399734489946,-0.00426794291390411,0.0179564651716386,0.00444975417615846,0.0129731747846717,0.0161114824885314
"9",9,-0.01569442010936,-0.00222682580542346,-0.0171446759175885,-0.0138202797776344,-0.0207929071313672,-0.0239257010983581,-0.00909396583586354,-0.00513027020098018,0.00958642707365493,0.00646662452942432,0.0171520573279317,0.0167888876968729
"10",10,-0.0183895017987635,-0.0147929886885727,-0.0197825063708973,-0.019927777068853,-0.0148497870035317,-0.0183384050339443,-0.0111307008421558,-0.00744848181710214,0.00276533197091856,0.000937297273712369,-0.00117772276145043,0.005215366637468
"11",11,-0.0177521865720298,-0.00909784586918973,-0.016244775358626,-0.0143465766936336,-0.0131814777369809,-0.0270559097868965,-0.0138162127981701,-0.00457206514277856,0.0141095985837501,0.0113610913692983,0.0130007763776875,0.018269968696836
"12",12,-0.0152546934354417,-0.00644614703806832,-0.012961473662969,-0.0129047377819211,-0.0163398240047685,-0.0128411329646121,-0.00391071993197419,-0.00444292080439947,0.00788630750441906,0.00733559788628524,0.0115554892970201,0.0139839866119661
"13",13,-0.0204707364065829,-0.0115831412146801,-0.0279596285387548,-0.0161930822860474,-0.0141296445902253,-0.0231485910067365,-0.0106171973145583,-0.00478598490980445,0.00395295432041138,-0.00651157078685412,0.00470592553621703,0.0104356297844024
"14",14,-0.0166273964745426,-0.0130292849186965,-0.0198952090939748,-0.0207219379871617,-0.0182045548340764,-0.0184836219672108,-0.00822288808312975,-0.00779911497146919,0.0105078774222551,0.0062589551029517,0.00703452171258272,0.0146128565597225
"15",15,-0.0132182625748197,-0.00842537969671732,-0.022463909762781,-0.017565429539666,-0.0205850692666616,-0.0212031839060134,-0.0140916734499459,-0.00631477047676687,0.0166423446964507,0.0097275079401876,0.0178728676577244,0.0110591188237637
"16",16,-0.0222877213091514,-0.00718757074520173,-0.0234166275708839,-0.0203349606993401,-0.0177944479041018,-0.01815920061476,-0.00532742176620055,-0.0118833500536635,0.00918227395140177,0.00151160010555043,0.00659428088564165,0.0141762839906341
"17",17,-0.0216561798334391,-0.0143793822244727,-0.0263930077915002,-0.0227747854506055,-0.0261753280846788,-0.0232438184703595,-0.0087721387474649,-0.0125963345749593,0.00668488711846181,-0.00222455274208675,0.00902907646620126,0.0090577573294418
"18",18,-0.0176081754148273,-0.010543927836387,-0.0216598206312283,-0.0176886531291193,-0.0180522127597291,-0.017353332831435,-0.00437011415375521,-0.0103883843042221,0.00849016255766941,0.000268962211599663,0.0142938623755391,0.00926203884759725
"19",19,-0.0227678677008005,-0.011185674567914,-0.0215623864300449,-0.0212033417925494,-0.0189337819831767,-0.0247801722925507,-0.00827987972376424,-0.0112968675412771,0.0109699128533264,0.00477682405136776,0.0111424240775616,0.0160576989037559
"20",20,-0.0187963396381917,-0.0129763351881785,-0.0212206881210405,-0.0188053824679955,-0.0159771092677317,-0.0255605440104104,-0.0159754284650656,-0.00692613001348101,0.0137979571509969,0.0126005427745014,0.0128338178493671,0.015538907777443
"21",21,-0.0164598161357659,-0.00734001732267965,-0.015190922298268,-0.0166108527568336,-0.0125789846388682,-0.023566919321254,-0.0121185735631663,-0.0101530538539241,0.0075036921443112,0.00848746101062139,0.0132282224710571,0.018510533012793
"22",22,-0.0133256096738179,-0.00906212676810769,-0.0212201463370081,-0.017552317137193,-0.0164583824324724,-0.0160582868147336,-0.00234737051299186,0.00193239935692024,0.0178259176669885,0.00999962367126198,0.0142696679584969,0.0165306648625757
"23",23,-0.0179593669283654,-0.00793129762278482,-0.0194873685426674,-0.0147202207454598,-0.0120059406263654,-0.0216555569317799,-0.0125789221502608,-0.00489781306207836,0.0136185538621467,0.0100242347838587,0.0176995292378448,0.0171565003490611
"24",24,-0.0165929116693906,-0.0112712827260428,-0.0214382729614927,-0.0180294928889757,-0.0220779097419777,-0.0241379938318033,-0.0124548709219973,-0.00902763723591416,0.00708660169394366,0.0037381423314857,0.00984678562597603,0.0153041194033797
"25",25,-0.0173972060420519,-0.0082311390013668,-0.0174500149575228,-0.0150842258066193,-0.0140006126368071,-0.0278673096884085,-0.0144327238006192,-0.0150823788521332,0.00292203176244321,-0.00361295111238411,0.00408110681134813,0.0126067856779258
"26",26,-0.0182415154154166,-0.00694243320407048,-0.0237206703129331,-0.0204737541993094,-0.01859145776242,-0.0225265454944124,-0.00758084537061648,-0.00732117030411101,0.0111468432163416,0.00937096804212233,0.0120595314293551,0.0175943052739583
"27",27,-0.0206188920873288,-0.0051950431954432,-0.02735731538634,-0.0191552658305793,-0.0186287043878648,-0.0164981613631876,-0.00844625884162207,-0.00643495459798795,0.0110192228793656,-0.00125250184223624,0.00472700252660944,0.0107416154771898
