"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"1",1,-0.00839995069021938,0.00617709275847533,0.00362293291666738,-6.54811143091599e-05,-0.00460825828762408,-0.00652688004763372,-0.00892250816871464,-0.0134122034955511,-0.00895656558865916,-0.000835935422866777,0.00425476587863709,0.00337839382973252,6.21429481072421e-05,0.00881156510736894,0.00114427502705918,-0.000220071011264178,0.0069878163454792,-0.00088288496885568
"2",2,-0.0116705590939158,0.0087033521386881,0.0040908073894257,0.00102895097189251,-0.00381581539215587,-0.00192774888482979,-0.0075568954942264,-0.0125112524462449,-0.00909147334542566,-0.00150933245557316,0.00514302091882924,0.00377347581565934,0.00305122428382139,0.00930400043255671,0.000916487975563158,-0.00169472393617838,0.00269910263591634,0.00322449504619488
"3",3,-0.0120161049010871,0.0124911261809244,7.42329611523123e-05,-0.000576839151163953,-0.00235557361017071,-0.000172376419310238,-0.00794634483170277,-0.0133260958426066,-0.00957930052702446,0.000597286302152527,0.00347277436525332,0.000159084686727544,0.00250343029248996,0.0112920547588561,-0.00113087857092381,-0.00408830029341875,0.00572766822251158,-0.00184020149211472
"4",4,-0.0107603425250826,0.0087577265031959,-0.00136308224592824,-0.00296383941048753,-0.00769342474855444,-0.00749562909615664,-0.00853649482997749,-0.0153310801310557,-0.00932377606958482,-0.000785041560604991,0.00571719576179917,-0.000805506398644926,0.00384492878467735,0.0120889765876433,0.0025004819263137,0.00233375130389424,0.00466859063559931,0.00265664348077163
"5",5,-0.00334770529413951,0.00335183094154597,0.00456351147219216,0.00175529205796322,0.00144595195877429,-0.000265673646664824,0.00282368382225838,-0.00923337117408806,-1.34518146547429e-05,-0.00226051892185002,0.00787295102110528,0.000895004109544347,-0.000819078864171571,0.00836543964204971,0.00120589547237869,-0.00267038061012026,0.00665871473059698,-0.000147921448618875
"6",6,-0.00760811417122426,0.00714778732897578,0.00304274065098633,-0.00260451616921444,-0.00307827991919411,-0.00271966383916766,-0.00549720635774903,-0.0141956614650521,-0.00732613459428446,0.00123118531419541,0.00284323134978588,0.000484693441548691,0.000925862673767321,0.0120602345989585,0.00222455248382001,-0.00196018495117933,0.00370602264154402,0.00104364572682611
"7",7,-0.0106545690129545,0.0099627460613303,0.000233607480852783,-0.00123618291681282,-0.00277854693908399,-0.00636281133339876,-0.00590141197295785,-0.0113741426398906,-0.00653041819341505,-0.00500857824319698,0.00271989017122749,0.00225848553445351,0.00387860337440236,0.00562635072189946,0.00125887405353785,-0.000648764994668999,0.00728910434416371,-0.00336177525977677
"8",8,-0.00992824489112958,0.00671406486568395,-0.000930303312229504,0.00141508594540129,-0.00206779175525554,-0.0017813069917136,-0.00677941705920139,-0.0109494514311857,-0.00842067561660817,-0.00207619062170395,0.00239179666092818,0.00149322173282227,0.00288536275113668,0.011526940426849,0.000536909576183088,-6.61946826754996e-05,0.0046402293225959,0.00147608033022353
"9",9,-0.0105957719391829,0.00437698138813008,0.00146490749734818,0.00123023631529619,-0.000376633309450925,-0.00064726334659993,-0.0038732867838814,-0.00930277510330804,-0.00650691991028818,-0.00293550982051198,0.00478914311281871,0.00236791676525508,0.00181319231636527,0.0104743312671764,0.00252002613773841,-0.00310041179802816,0.00662968966958548,0.00335123343682284
"10",10,-0.00547597402047014,0.00527503747020779,-0.00245766252840792,-0.00106867611876041,-0.000187788280431948,-0.00723252276671586,-0.00795084428605828,-0.00924681349001506,-0.00301207259651441,0.000261847051766057,0.0010372491663257,0.0037014595813076,0.00253372607536396,0.00450513701925513,-0.00454638285509258,0.00108300775917444,0.00898901327581296,-0.000742145503828435
