"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"1",1,0.0121785817268792,0.0121394994038199,0.0127537455008786,0.021807196402024,0.0224156930014984,0.0145103474476305,-0.00270526703055924,0.00431915291386661,-0.0124575627666831,-0.00746126462936096,-0.00726268107163609,0.00312699009071484,0.0115547956802039,0.00155621084958484,7.88663072114187e-05,0.00809759445264873,-0.0077134533335188
"2",2,0.012196222582324,0.0121446272558647,0.0174355992972877,0.0228705193956371,0.0209197090606291,0.0136428544026358,-0.00117248780839286,0.00531619997621542,-0.0125997033952297,-0.00878450677143019,-0.0118558041723594,0.00143022350088197,0.00934416249978846,0.0010604994241198,0.00452760080112013,0.012568584081535,-0.00421392654311933
"3",3,0.0178927088725446,0.0130980407123823,0.0184072237096616,0.0228859705364544,0.0220062919732506,0.0155478997611691,0.00264410909501797,0.0131373502303751,-0.0115856674099389,-0.00685872449707905,-0.00899042240592086,0.00298536201205161,0.00709421820666581,-0.00174513986406979,0.00677882129290853,0.0113597470219947,-0.0111172783357426
"4",4,0.0146886553553917,0.0154222724861644,0.0196956704066251,0.0248511297445492,0.0275251533831846,0.0153585149108379,-0.0016889219332226,0.00912477813118191,-0.0111283119906841,-0.00304917717267219,-0.00563735499846168,0.0101168257518507,0.0145894588878578,0.00263571275706993,0.00626347317394318,0.0132131714784567,-0.00573037063442799
"5",5,0.00806334267040459,0.00680278742910662,0.00752739935250246,0.0112627522364667,0.0162067286928879,0.00957827819031452,0.000188165084538628,0.00837188090122981,-0.00823310654254028,-0.00296758101727969,-0.0133939116910025,-0.00285238163462274,0.000817891307139276,-0.00777533880085399,-0.0032834876015689,0.00272666274699051,-0.00372211457092986
"6",6,0.01483732523611,0.014165363030234,0.0138855366363962,0.0218049095676552,0.0187871841031228,0.0140496613717161,0.00174630461761296,0.00713541799659913,-0.00949330104284407,-0.00671515147804883,-0.00916224823190307,-0.000404840325522859,0.00537325847262987,-0.00164146515274368,0.00361344094428073,0.00817078932604312,-0.00623929972491606
"7",7,0.0136271901041994,0.00852280318942311,0.0167656432513238,0.0210701886626204,0.0184527932703873,0.0145271558613523,-5.27405549391491e-05,0.0127088849949401,-0.0103938076043205,0.000980479668279571,-0.00603504403701537,0.00225190561713623,0.00943426554449643,0.00108494708524264,0.00596248138676861,0.00923759982180988,-0.00864016706050183
"8",8,0.0124144009331463,0.0102756847633881,0.0138366443797529,0.0193017281494272,0.0228781823520649,0.0174736267577196,0.00378112807425166,0.0105115031217981,-0.0154812882780449,-0.00415154628933732,-0.0104400902797847,-0.00210897349691672,0.00401992941353098,-0.00255399691869786,0.00546880944788842,0.00780239218959093,-0.00823050338908492
"9",9,0.0101863510621493,0.00439360690498644,0.00640205494195266,0.00899873803821654,0.0133442479627906,0.0109022846722741,-0.0020176806029528,0.00781097247532771,-0.0116652500281646,-0.00806968934246906,-0.0149730914879855,-0.00730274124482789,4.87952325829616e-06,-0.00701965986143205,-0.000759000749319124,0.00564588857947999,-0.0109707615153667
"10",10,0.0150882786340758,0.0147392199615322,0.0143168894809802,0.0210905071342656,0.0173544965542984,0.0125715005921107,0.00171685508434995,0.00860998703045972,-0.00528419531640353,-0.00209174494230336,0.00104839900805017,0.006377799613642,0.00956985808494808,0.00257518046141857,0.00244325716115396,0.0068089696196033,-0.00932262677135375
