"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12"
"1",1,-0.00621029921296008,0.00223794831306406,0.00425097940285515,0.00450828556406288,0.000523596930554226,-0.00438862861711913,0.00174484177461475,-0.00427835187815088,0.00264517904230503,-0.00091085258250153,0.00728570727856105,-6.6876895598928e-05,0.00303227501728463
"2",2,-0.00770094034064793,0.00451593282182514,0.00306892137755213,0.00529713991941799,0.00107190734628692,-0.00176464531447133,0.000445604165810738,-0.00326806991779186,0.000979865485669604,-0.00237869225108394,0.00525802994400171,0.00250966111038523,0.00378110217724473
"3",3,-0.00631735111706148,0.0047285786893218,0.00182486468466411,0.00550523486486004,0.00170173138667723,-0.000820970211748901,0.00308513927319923,-0.00265584731599886,0.000229976841067475,-0.00219299937664418,0.00559691044380739,-0.000286296325832859,0.00219608484399469
"4",4,-0.00892618688167245,0.00271936941563754,0.000998595192750404,0.0029156169935276,-0.0019504399574098,-0.00715233770427689,0.00406459333111631,-0.00565463230661785,0.00379784619984663,-0.00260985722588659,0.00800233089534873,-0.00234863700188533,0.00530689050553616
"5",5,-0.00560290948260048,0.00216042502643323,0.00161525940102147,0.00755232711439855,0.00439414811140203,-0.0012302732242327,0.00454313203954306,-0.00372714606807507,0.00475474607927644,-0.00257010939747182,0.00812925792584844,-0.000523926144095513,0.00492251041143605
"6",6,-0.00543968335004808,0.00356529091552536,0.00149121107661046,0.00408633965090595,0.00153453063538337,-0.00284087234972301,0.00278073187219635,-0.00394892682478544,0.00291573779028179,-0.000215280548163938,0.00491593038993976,-0.00205601476757823,0.00429442439089078
"7",7,-0.00746655527618054,0.00549355383566502,0.00275898868166322,0.00400235089308566,-0.00100265397032718,-0.00312079468065218,0.00295233302551418,0.000214817664860016,0.00316567785801296,-0.00328721433832274,0.00519483842603215,0.00154087196970635,0.00203392884053235
"8",8,-0.0062348547263202,0.00132756200583266,0.00179315006054819,0.0052939266862946,0.00141545965163305,-0.000791481302370948,0.00286737087979845,-0.00261412520658526,0.000917166642138489,-0.00345219629930965,0.00449503370528592,0.000923361922027548,0.00304570529632901
"9",9,-0.00914289608856355,-0.00116184388217988,0.0019240389365511,0.00686795886687142,0.00180157547416138,-0.00239797251879675,0.00205130355861889,-0.0027977693521767,-0.00105638072928162,-0.00607332417693549,0.00409815149073009,0.00276894738013514,0.00343827096124972
"10",10,-0.00582219825734258,-0.00114047762571983,0.00344325113088317,0.00092618676901939,0.00200284152902408,-0.00509842519817278,0.00370220734313304,-0.00473916789570632,0.00471733038269138,-0.00126267160592669,0.00772878003963196,-0.00158778578963785,0.00259694331070238
"11",11,-0.00474778475131665,-0.000133754807765658,0.00628506227452923,0.00140969071907754,0.00596026647468681,-0.00525791618855227,0.00309283656239187,-0.00476334195602139,0.00350633086112019,-0.000427403382194721,0.00859482184763504,-0.00196436851134997,0.00392168421053452
"12",12,-0.0080847014608009,0.00289593124972271,0.00158212874122634,0.00481564933296341,-0.000374307473879779,-0.0020524687914496,0.00125222710287962,-0.00255107373909647,0.000642865716103063,-0.00178237189176097,0.00558465280798208,-0.00144646651413714,0.00315830638425503
"13",13,-0.00434147132663161,0.00344053958318168,0.000225137910006274,0.00559723774044809,0.00152903501013776,-0.0013544818856305,0.00375263927253636,0.000871375601354971,0.00390983091724228,-0.00223549104310645,0.00389522364074946,0.00208045297079513,0.00442762289105169
"14",14,-0.00477592833514076,0.00277512500499343,0.003784556757749,0.00370644739831786,0.00347937381526713,-0.00327276970785345,0.00321964597254902,-0.00615933102416117,0.00343181422785999,-0.00288336197133073,0.00817245872265738,-0.00327686964257947,0.00444690159289371
"15",15,-0.0105377684496297,0.00370949817093517,0.000936400917001959,0.00705535332054473,0.00113306949650192,-4.48746067246806e-05,9.79199496643869e-05,-0.00568964140924504,-0.000948503568002802,-0.00406402996542702,0.00706027943991277,0.00358261168313194,0.00396945418418602
"16",16,-0.00816393600823159,0.00111017895574037,0.00224099618820664,0.00253377796608974,0.00233038809381849,-0.00262772150997454,0.00184791560672721,-0.00627644441896149,0.00163557627487057,-0.00381126574395207,0.00642275781042368,-0.000202903856255203,0.00358277280344339
"17",17,-0.00811182005910876,0.00232064323270583,0.000331301490421481,0.00579456956346515,-0.000768560530780424,-0.00135962000590882,-0.000387021267083929,-0.00364109963002258,0.00139288993800503,-0.00293122433613412,0.00526951955623529,-0.000406452933382606,0.00196268384392486
"18",18,-0.00777666069904623,0.00369195684848771,0.00279542447837088,0.00625647248541506,0.00200964803965596,-0.000741543217656143,0.00269244706606951,-0.00292093023954538,0.00187323824511051,-0.000334055559110116,0.00793156605112861,0.000638511925359823,0.00436580859921778
"19",19,-0.00808206685945339,0.00337016095539472,0.00284789223203571,0.00458307695020214,0.00166340378588676,-0.00472007428280603,0.00276149167132341,-0.00457491030941994,0.00301871372214337,-0.00467019285314683,0.00710587775838008,-0.00102171051937741,0.00358861167933766
"20",20,-0.00786679284312721,0.00182426478454821,0.001383854163073,0.00559684276587011,0.00154925419753496,-0.00316754438732829,0.000971314069729375,-0.0063437277124009,-7.08824870968504e-06,-0.00430400715489134,0.00576925493050546,0.00143216051291155,0.00421752386208497
"21",21,-0.00598830345392755,-0.000407296959065869,0.00245239615582875,0.00388013077322037,0.00290582046167332,-0.00309381690392046,0.00294785223942616,-0.00268801354541976,0.000883677219039251,-0.00291132667278243,0.0035597356096063,-0.00116616382999877,0.00564989099536868
"22",22,-0.00642835540686473,0.00211281431864729,0.00161157551899158,0.00352303292939637,0.00339494840986375,-0.00513561088807903,0.00380248522824185,-0.00357729869016847,0.00399861761602699,-0.00308509173598918,0.00754779924745448,-0.000106609718294258,0.00726830827291394
"23",23,-0.00459645793600128,0.00406624698098155,0.000864372922310544,0.00407029659113745,0.00485199465376891,-0.000682571269281551,0.00202781496944995,-0.00254328568245938,0.00227955196157579,-0.0045864096556667,0.00694252594837356,-0.000956166752863358,0.00338210869217259
