"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10"
"1",1,-0.0073065438541895,0.00643390030899432,0.00217094964992554,0.00666562478280021,-0.00249942218950504,-0.00102282489050704,-0.00205713147277826,-0.00217732986464915,0.00196875805340704,0.00282512411091079,0.0072645032102869
"2",2,-0.00705893250850432,0.0083377522571857,0.00187820567205186,0.00612576912934975,-0.000611443622625406,-0.000594968382715248,-0.00167210279581926,-0.00212321047692443,0.00117826630377139,0.00127334416616138,0.00602560075959653
"3",3,-0.00772000414789949,0.0091380195465707,0.000585784125355232,0.0074601164639829,-0.000890293822998792,0.00154398922385685,0.000210687518883485,-0.0012722479989429,-0.000242036946212016,0.00190316583883058,0.00679548658948964
"4",4,-0.00922458973675567,0.00666586388288909,-0.00172208046316246,0.00549237310858924,-0.00485140893524511,-0.00315122430215299,0.000246491480432799,-0.00260549341338341,0.00268808529262584,0.000307106321736461,0.00588371380439016
"5",5,-0.00642310497364052,0.0058926873329801,0.0011272026599637,0.00912316239246065,0.00249173119595047,0.000440790275324227,0.0021295885838192,-0.00261572189935641,0.00408849191524316,0.00016894928630169,0.00918116714020087
"6",6,-0.00746548866474222,0.00768958221594144,-0.000250961439690021,0.00632308717607686,-0.00175733965975292,4.57653132024079e-05,-0.00109994337959793,-0.0029192354613989,0.00180803853747426,0.00388636638833954,0.00614005360069998
"7",7,-0.0080027008247443,0.00806738671821823,0.000982609814349779,0.00525714057355747,-0.00340344609563747,-0.000978421987701076,-0.000113139840343451,0.00165868858342154,0.00295922433311054,-0.000537383931843985,0.00497329258866307
"8",8,-0.0063971151789796,0.00495470368948218,0.000559677755886431,0.00607066440793677,-0.000821927024826077,0.000388750315411841,0.000266275187220097,-0.00220682549155242,0.000844098122644319,0.0005633940793791,0.00574834430170139
"9",9,-0.00928355787078426,0.00304979287426347,0.000475892602363125,0.0077961106782323,-0.000778537966634144,-0.00101912071074641,-0.0010090693461843,-0.00224363547686941,-0.000949169236113939,-0.00157019962288385,0.00597918050372176
"10",10,-0.00601066519622324,0.00271706317645296,0.00190537946705144,0.00262122879181969,0.000239331746524467,-0.00255344045481404,0.0013267068412458,-0.00269001647058713,0.0043181644023032,0.00177470793571882,0.00674945884044538
"11",11,-0.0060852504491307,0.00536300138080706,0.00424609083234644,0.00414269294758445,0.00286163190657183,-0.00160189871825034,-0.000784198389069242,-0.0023228249898339,0.00265679409269712,0.00443780180144526,0.00860253391200405
"12",12,-0.00990783852296331,0.00722690709378092,0.000468710451239703,0.00717318676756978,-0.00297534431571881,0.00102258920752591,-0.00191547012688173,-0.000737835436441455,-0.000257368640123721,0.00180204096542176,0.00643843875971175
"13",13,-0.00437181907089416,0.00667748341002198,-0.000369250708873077,0.00647558197126583,-0.000118919237851302,-0.000217309771646461,0.00135233867332008,0.00185658359064438,0.00388961693149055,0.000552426517971674,0.00499873942384824
"14",14,-0.00545793692994157,0.00744626921676718,0.00140871857273843,0.0063750845327804,0.000985707004055196,0.000384971423814461,-9.40531827453434e-05,-0.00344288692641631,0.00247112720591132,0.000898773087408619,0.00684874360871843
"15",15,-0.0088136194548046,0.00656863264821856,-0.000683000145860264,0.00796525737453183,0.00020098711002697,0.00183466532127997,-0.00182818083921825,-0.00318592776569281,-0.000615000338722294,-0.00186101322370822,0.00602796915272858
"16",16,-0.00855280486179572,0.00595630679314467,7.93872890635312e-05,0.00437541795055221,-0.000720713455924229,3.7410668498969e-05,-0.00156609305921826,-0.00443037450655423,0.00115708368461005,0.000749186749206943,0.00624913053862039
"17",17,-0.00789517861175354,0.00581869726219931,-0.000709449154024551,0.00701737904763571,-0.00188488900019317,0.000271492225621352,-0.00203469721785369,-0.00191409138932263,0.00143115816227866,9.68518949142547e-05,0.00468923138630748
