"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12"
"1",1,0.00157162819627091,-0.00415127340088451,-0.00747821004803554,-0.00407999215388479,-0.0040405695343027,0.00382911455546248,-0.00252495916829352,0.00668883670352492,-0.00288470181734781,0.000774594975798587,-0.00527655635733985,-0.0010212198783788,-0.00498004493253557
"2",2,0.00443839411629898,-0.00687932395952153,-0.00413072043174134,-0.00653837378537082,-0.00462435193362964,-0.00223672429524364,-0.00146119872789805,0.0011533486938847,-0.000855704015437487,0.00454979782317232,-0.000662249499136022,-0.00558437754084075,-0.00572700069102536
"3",3,0.000814998133080866,-0.00874021916959571,-0.00395307445155123,-0.00575949247513775,-0.00252904924261673,-0.00174438229545146,-0.00451167612001814,0.00230792706224002,-0.00042705654301881,0.00123644525657901,-0.00135970300766716,-0.00035391009661795,-0.00401369632437091
"4",4,0.003658973263857,-0.00344430804189169,-0.00246606585887752,-0.0012360459993049,-0.00125363869676073,0.00838159411932747,-0.00630479572780189,0.00715939593005343,-0.00492568474717217,0.00370072773975045,-0.00413972346462081,0.00285777208198514,-0.0079237411091309
"5",5,0.00301123030816387,-0.00288710518508081,-0.00275736976165719,-0.00880500963200812,-0.00923970609036125,8.70123923985064e-05,-0.00511329909787892,0.00545673446346014,-0.00630579184984303,0.00181051269300759,-0.00595668833540605,-0.00136089821791656,-0.00879060991377296
"6",6,0.000529394873030368,-0.0051724331206058,-0.00321977282336616,-0.00450880987803882,-0.00480333513852034,0.00104247726170049,-0.00360425023053638,0.0055902720519383,-0.00253428799068946,-0.000142378167802585,-0.00176385481503562,0.00285973013030174,-0.00671895823402797
"7",7,0.00369933507400234,-0.00676762952217369,-0.00597814324937193,-0.00387295011744887,-0.00176025368632295,0.00297117978862567,-0.00446906462394912,-0.000337643829201258,-0.00415331492173888,0.00468175562425126,-0.00058302664144708,-0.00314364154780043,-0.00564928381129318
"8",8,0.000381854006102409,-0.00303191969827215,-0.00462846378270642,-0.00528788503331888,-0.00517889569809898,-0.0011801735286396,-0.00463438753800826,0.00244612320985402,-0.00111426498550019,0.00419074355971141,-0.000319063496320951,-0.00279012685334961,-0.00352085029481492
"9",9,0.006326549453575,-0.00062617684839841,-0.00311769486355294,-0.00766554616434661,-0.00299520780357973,-0.00100364144794771,-0.00294010107912176,0.00225160641042986,0.00120653337434046,0.007649569019225,0.000933893509267828,-0.00488983827732317,-0.00383863559956733
"10",10,0.000755034165535917,1.11733278994382e-05,-0.00558967082687027,-0.00102795151448145,-0.00568891968968927,0.0036311730834519,-0.00484378141754389,0.00496836123644998,-0.00750300470498505,0.000423310198792263,-0.00479763629821171,0.00228243330136776,-0.00474372611364802
"11",11,0.000474565030541715,0.000881468783149824,-0.00918280813126996,-0.00128711412844019,-0.012643388780764,0.00294975953229851,-0.00536546205431434,0.00454421519957844,-0.00448259721899663,0.000581295598149762,-0.006403133469327,0.00223763226738381,-0.00655547909756458
"12",12,0.00426686986467583,-0.00317699097083158,-0.00420212622580258,-0.00439031239781318,-0.00403254372777841,0.00065591451330662,-0.00287868009937335,0.00357904570036435,-0.000691994976354069,0.00371640307403905,-0.00315656205973542,0.00188451350483455,-0.00464551089622636
"13",13,-0.00143547860690226,-0.00475358964905957,-0.00120057908497218,-0.0067744180578036,-0.005323026660823,-0.000362342838044961,-0.00444573602845012,-0.00332658417431278,-0.00607614896908576,0.000842583393062804,0.00239480870401347,-0.0040967607457939,-0.00600537070255154
"14",14,-0.00150284766320885,-0.00333340495193564,-0.00617764318871801,-0.00321256012761621,-0.00834888877030696,0.00201547177974382,-0.00598744365876383,0.00594663799861007,-0.00547873337843182,0.0040110238256875,-0.00398998017015161,0.00593062145567221,-0.0077083039256038
"15",15,0.00496851936260714,-0.00582290093416299,-0.0011405391483577,-0.00774548278839598,-0.00463288310145338,-0.00377518681096905,-0.00215650512999384,0.00452624363694744,0.0023256268551409,0.00721089646159262,-0.00252128642086458,-0.00410834518346465,-0.00477523315091128
"16",16,0.00416490212039891,-0.00354461621295351,-0.00407974988534002,-0.00207787002931959,-0.00396343237100122,8.02930579157235e-05,-0.00385902688754635,0.00683058461787035,-0.00211305258471627,0.00387017389950639,-0.00256183338671174,-0.00234580220483496,-0.00703495133171201
"17",17,0.00352939536033943,-0.0045130359383426,-0.00233438475778068,-0.0072022541128664,-0.00159049594703202,0.000292014614438401,-0.00144723463437929,0.00277558295469797,-0.00261698623034926,0.00350096849578758,-0.00169152859450032,-0.000122020635952281,-0.0051394257248719
"18",18,0.00462993882589707,-0.00612652980778436,-0.0046366461356231,-0.00618246546756587,-0.00467685703511818,-0.00227705095004568,-0.0046964375386997,0.00135125479191936,-0.00215657928997436,0.00106755272881012,-0.00421385698495324,-0.00291318441109782,-0.00654042429329119
"19",19,0.00338326200292742,-0.00503286983704671,-0.005594605133521,-0.00307520957423978,-0.0039200684836584,0.00462232831304809,-0.00346708719773454,0.00540170310293904,-0.00543385220380573,0.004385524374575,-0.00279886189009721,0.00118217725500345,-0.00630311738323972
"20",20,0.000825166953499984,-0.0023887171779441,-0.00331974939407476,-0.00495518439324723,-0.00531677095781309,0.00145066248492517,-0.00214170592276922,0.00843888559781347,-0.000949990623616805,0.00478215015929082,-0.00132732741465465,-0.000155293945045988,-0.00568751963363296
"21",21,0.00110620551176746,-0.000852286596959447,-0.00441009449354621,-0.00293429460690988,-0.0065994348720532,0.000730892354370107,-0.00454445602557266,0.00410306898752937,-0.00040867260376167,0.00486743136919857,0.00109304654122713,0.00113635294396672,-0.00729440604284081
"22",22,0.00222522397922894,-0.00390922159424769,-0.00433250905242141,-0.00334889076226237,-0.00711452852854891,0.00412190451396481,-0.00726839267304796,0.00279638782363125,-0.00421843782752083,0.00451106856392289,-0.0037809383106215,-0.000281830237606964,-0.0109959751267581
"23",23,-0.000805646447431528,-0.00525409055674585,-0.0018132691190394,-0.0046140825269706,-0.0100476793254634,-0.00170487338248089,-0.00315468141292482,0.00191947035751218,-0.00137407700480111,0.00614276052356952,-0.00301651133994635,0.00172973043160312,-0.00587993046354591
"24",24,0.00136599286657225,-0.00138021650497472,-0.00705966097786787,-0.00486277663106026,-0.00379863825384701,0.00293621737697965,-0.00689306445499999,0.00392686338867445,-0.00128820215205537,0.00516063991721114,-0.0020661063569468,-0.00181202511990427,-0.00466096058504204
"25",25,0.0035179271866458,-0.00283432393666555,-0.00223632732301384,-0.00858449843749646,-0.00582518276117917,0.00383129903622521,-0.00093671272085251,0.00531030700149428,-0.00925506293902337,-0.00275638276533286,-0.00195355345583949,0.00479849868415585,-0.00738011745552074
"26",26,0.00586687160650602,-0.0028389965407752,-0.00438279566453968,-0.00329029773515209,-0.00623439902145266,0.00158570607443418,-0.00318634142857858,0.0060281809093083,-0.00180750095754097,0.00646822288248502,-0.00480715388621725,-0.00104400132269878,-0.00688531996483365
"27",27,0.00455431296357144,-0.00554001108477857,-0.00180497970525062,-0.00167802158537652,-0.00376507508094878,0.000219479148335887,-0.00368270111514615,0.00195970408193071,-0.00370390061687339,0.00825375260572868,1.58404720121251e-05,-0.00171832091733881,-0.00761661357216386
"28",28,0.00859005401477427,-0.00258296160820073,-0.00315282984005308,-0.0072338674561304,-0.00340916883997211,0.00384808879983114,-0.00180995350213436,0.00560286259004346,-0.00392311078638741,0.00135637299652212,-0.00516556087289435,0.00150674623103438,-0.00836812674860236
"29",29,0.00478844048582829,-0.000852196043741102,-0.00374422502149932,-0.00252867914464364,-0.00563192905355777,0.00453454886193094,-0.00372972585294531,0.00683743524858725,-0.00292891597203091,0.00238222459632633,-0.00362401254400243,0.00258724067075248,-0.0067306470995095
"30",30,0.00303453426549232,-0.000367570943252807,-0.0049571978532363,-0.00325749783045024,-0.00705167876014751,0.00598577989170879,-0.00470529316182999,0.00629614854092246,-0.000837007038919653,0.00851836234163387,-0.00309876437978819,-0.00206264293346965,-0.00618772135368222
"31",31,0.00938400373495907,-0.0030319763522443,-0.00256291907372082,-0.00657818156763059,-0.00272672793429725,-0.0013001248584778,-0.00294274820181048,0.00390375547062467,-0.00231842897473263,0.00550581556408046,-0.00153338743023407,-0.00277225339664603,-0.00728988081527082
"32",32,0.00517746152843355,-0.0041761621887815,-0.00175886618477361,-0.005747527088864,-0.00655070753772351,0.00112866772115298,-0.00435642285248365,0.00419950408062885,-0.00335013998224094,0.00635940968542753,-0.00046677017119084,-0.00154862845164746,-0.00615171005421977
"33",33,0.00424085914257059,-0.00497518180638411,-0.00116538965963875,-0.00148508054204874,-0.00638695062594504,0.00379330352119019,-0.00471946480534296,0.00364991606794915,-0.000857097487865849,0.00646916775864307,-0.00166614818594533,-7.68781544385675e-05,-0.00852345067634103
"34",34,0.00264866817555512,-0.00522721981635079,-0.00800739633304386,-0.00375151809100161,-0.00249740474312402,-0.000325627087526316,-0.00308857949999958,0.0044610062899148,-0.00462404144380504,0.000311968488412833,-0.00765567140550905,-0.000825606853099986,-0.00733827106351093
"35",35,0.00327724676624677,-0.0014142741324503,-0.00240667593402822,-0.00856990000543271,-0.00934498858858397,0.00414825288909649,-0.000706574431666112,0.00513137612142417,-0.00336940739803669,0.001132140696296,-0.00688167968938974,-0.00302593502713547,-0.00703282461118695
"36",36,0.00631259184414163,-0.00110541328189155,-0.00465305763925277,-0.00264304650440458,-0.00479900386287079,0.00144888220637835,-0.00625123397704922,0.00465478990245626,-0.00207105375994687,0.0080045180606642,-0.00279017198463154,-0.00365613096017652,-0.00977374472779485
"37",37,-0.00127138075248042,-0.00311716058867094,-0.0056105395957832,-0.00511941746356916,-0.00590278101462048,0.00195843249323425,-0.00282644405375281,0.00294520992658715,-0.00225180244192698,0.00274596485832365,-0.0028045555104535,0.0010523717208985,-0.00564029002958078
"38",38,-0.00155394776559451,-0.00321584444651369,-0.00694320318237242,-0.00346834545496254,-0.00328735400065014,-0.000830268148882833,-0.00480474989480127,0.00388449121896458,0.000600788983838072,0.00155549243973789,-0.00138395864131974,0.00129484384009286,-0.00502746954058256
