"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17"
"1",1,0.0160040362318861,0.0185985583843048,0.0221448410371654,0.0309603089449717,0.0301881153117303,0.0259384269756974,0.00453148448206584,0.00930669400876965,-0.00765780850475219,-0.00604142545717937,-0.00386112184081323,0.00202512903213526,0.0187269622144286,0.0117044209197619,0.0100443790162253,0.0172336049901246,0.00178091649668626,0.00983530628897644
"2",2,0.0144155184506622,0.0173524707709597,0.0245430748493367,0.02855124659417,0.0273063630881761,0.021002400080068,0.00371514934061806,0.00716629734482472,-0.00829011613180825,-0.00827893881894178,-0.0101143341608057,0.00261894585025062,0.0148610595969805,0.00827691489321806,0.0105781386475824,0.0193099947896727,0.00254441576769635,0.0023948974015024
"3",3,0.0207671388676495,0.0186884717443808,0.0259662029480231,0.0312784184129332,0.0292981099442969,0.0253910754223392,0.00816015518202602,0.017384341948234,-0.00814527801013142,-0.0066436717747023,-0.0066391172380121,0.00314663871840099,0.0144022089035335,0.00664974850837654,0.0151282872365573,0.0199133079542952,-0.00305099909210001,0.00687384654792905
"4",4,0.018339516969809,0.0219106640384601,0.0287795682113117,0.0323803241517663,0.0338284383994403,0.0247744490408169,0.00484004251826188,0.0121236730193943,-0.00610158357460782,-0.00178094451496435,-0.00208325570611519,0.00951708067033641,0.0201840727125779,0.0120113277659662,0.0148162631626352,0.0205709526465826,0.00232161541786176,0.00566371840276919
"5",5,0.01157194690638,0.0124402002957813,0.0160770134836195,0.0168092237366509,0.0212080390955301,0.0180687986026872,0.00616027444135215,0.0133818112622475,-0.00249377585685909,-0.00206269170527781,-0.0095957597919511,-0.00339467660163855,0.0070474205249406,-2.5803789885404e-05,0.00417143925022739,0.00969349651670176,0.00319854273742948,0.00233514660510794
"6",6,0.0183662787408834,0.0218177903833721,0.0239748476504492,0.0305761134999835,0.0271786633853357,0.0247254411696598,0.00817923834590428,0.012105454323824,-0.00298429555811042,-0.00634852439208454,-0.00569553679880335,0.000467213307644972,0.0142033607216798,0.00782655512349484,0.0122772232150805,0.0187938731427216,0.00292759053622314,0.00502662357260181
"7",7,0.0170262657397793,0.0145452906225808,0.0248716701224461,0.031730663085807,0.0275672764613359,0.0273092817463293,0.0068859834899925,0.0179945694099257,-0.00727036776661248,0.00218223638271435,-0.00372322479016207,0.0016347155996717,0.0176354209637333,0.0115958236893139,0.0169320199487951,0.0194837271061922,0.00167118160795972,0.0127661659421735
"8",8,0.0151538510852948,0.0161672271160644,0.0212008088390249,0.0274170131080878,0.0308821136138142,0.0265052314202919,0.00885506723179114,0.0131673906790257,-0.0113217107887833,-0.00297143441794076,-0.00860319922679115,-0.00113424864841499,0.0103248646446265,0.00568400441777083,0.012835158368703,0.0166050645556058,-0.000447350175667775,0.00831587324887072
"9",9,0.0120870082049707,0.0102898130020023,0.0138713758974584,0.0154490353741681,0.0199803696847445,0.0181354189379243,0.00254742563051985,0.00881802882602034,-0.00745283129714072,-0.00880801089192287,-0.0130391864604632,-0.00576080829945857,0.00627899924361384,0.000291009219904587,0.00516323523008427,0.0131349094940734,-0.00407242295589616,0.000998633898632087
"10",10,0.0200802992239494,0.0184190849832176,0.0218716541321793,0.0265151209743852,0.0211397745797064,0.0221615465091167,0.00938790982613868,0.0138475396344316,-0.00135975115788897,0.00273807699930283,0.00537068979141811,0.00252063001688612,0.0116858135666729,0.0117627138667791,0.0121127969247207,0.0108065709414523,-0.00269289366144341,0.0125029668762262
"11",11,0.0196475897130057,0.0208684582876198,0.0249734515029093,0.030678587919368,0.0263615679437767,0.0300795714501651,0.0103010932570398,0.0126630366148276,-0.00834384197411716,-0.00668823427658816,-0.00258733368600052,-0.00126016805488702,0.0159044254165445,0.0108548756736416,0.0140853182168893,0.0168974727056798,-0.00090478886934402,0.00779991768203872
"12",12,0.016975215764637,0.0169800828683139,0.0232916721354758,0.0270392827685241,0.0302166589159476,0.0194370039830629,0.00673525341875246,0.0140433815018982,-0.00204411817156869,-0.00287929789193906,-0.00520054711928009,0.000691199712115957,0.0138596497244403,0.00681580328019811,0.0149952320878188,0.0207642635425529,0.0048885553201568,0.0106636930032645
"13",13,0.0156778931006263,0.0125438498817002,0.0217219982827951,0.0182441867172917,0.0168765707475523,0.0217796363938159,0.0093551257740318,0.0125968965721125,-0.00200920742458759,0.0045349028713457,-0.00526981878350678,-0.0057965882487054,0.00510640701208723,0.00536142927505632,0.0104874346204399,0.00888139121407056,0.00333711967421364,0.00689264692486641
"14",14,0.0176894396333111,0.0204295646540365,0.0255183125359801,0.0314164823737504,0.0300473365478779,0.0259958999588878,0.00999135334762272,0.0164195183804621,-0.00210469996838687,-0.00191666821366592,-0.00240400535593377,-0.000197911490004318,0.0144879801015085,0.00960728058253987,0.0118156994144825,0.01720530100442,0.00457172642178619,0.0113874433705555
"15",15,0.0151982022454869,0.0174627510466598,0.0262503677083583,0.029765956252884,0.0304083504410988,0.0210001084073362,0.00685184198978332,0.010907190911216,-0.0120066858512847,-0.00793175788439019,-0.0103656051284235,0.00471070450138908,0.0160296212074619,0.0062921939604973,0.0118973545893158,0.0190845183477324,0.00307646658131177,0.00664941749151997
"16",16,0.0169180804881285,0.0142425369345268,0.021545757618433,0.0268473710027391,0.0257125488613401,0.0214170166520026,0.00499983989009135,0.015132083721866,-0.00543288629551731,-0.00249145879018195,-0.00458540830093274,-0.00302663637978523,0.0116893616981062,0.00414587906968539,0.0101868146365501,0.0176233545999191,0.000717871379466754,0.0103363634830158
"17",17,0.0196650435204689,0.0196960224652739,0.0271497435956679,0.0297085948453122,0.0324616309451099,0.027319774392145,0.0100363921089582,0.0163633748786485,-0.00390334076999518,0.0002839560823086,-0.0046641050590021,0.00290461666107137,0.0148472319050808,0.0110302553513841,0.0149667285611739,0.0168951814965143,0.00283953746677221,0.00683300064108304
"18",18,0.0185078746307887,0.0183884116368933,0.0253380657505812,0.0282699045195899,0.0274338929352985,0.0222828148910535,0.00399739448303737,0.0155150952495238,-0.00758183309610773,0.000154982684995684,-0.00767218377240182,0.00134439451097478,0.0127673674221273,0.00738027310498019,0.0156653282384722,0.0182455537436461,0.00294678091492882,0.0124545637249379
"19",19,0.0195631584286684,0.0210096811991056,0.0276640163674927,0.0337826201439367,0.0320304528339803,0.0292466960020838,0.00992698098783735,0.019675657584036,-0.00578577930081375,-0.00422296894256989,-0.00764353763317174,3.46740481600917e-05,0.0111320044476636,0.00532977793594085,0.0135751039627869,0.0212534194666025,-3.38157654445858e-05,0.00770240264107768
"20",20,0.0192544174375182,0.0218222897599973,0.0309371438021928,0.034888431555768,0.0360186062876088,0.0325167329069219,0.0144233445883902,0.0160257008694086,-0.0074907134981648,-0.00690397155626943,-0.00930741020159993,0.0016500413252736,0.0173935647435287,0.0124225547557572,0.0170831126535205,0.021868669663005,0.0107436940206709,0.0100357867848344
"21",21,0.0179180507898505,0.0167865666923818,0.0218619083016121,0.028834249877701,0.0260776230961811,0.0279111081828932,0.011243036782047,0.016413346408552,-0.00254817279906932,-0.00343543144456321,-0.0069342389853297,-0.00500161069029424,0.0116389314964606,0.00879210292075539,0.0143029219334332,0.0162084123388299,0.00353977116747699,0.0103243452433228
"22",22,0.0160518619977559,0.0172845781726216,0.0246232760925017,0.0291628060769963,0.0270867763183342,0.0238307455001387,0.00529832987009875,0.01116779172554,-0.0110909379262031,-0.00591065879122599,-0.00656570261183689,-0.000622078162451447,0.012647105387058,0.00566967719491802,0.0147275012977585,0.0177347207787893,0.00152968201976262,0.00823540503127896
"23",23,0.0175608004600947,0.0153903333778496,0.0241526977711019,0.0266565239376951,0.0238683844101153,0.0272281042917747,0.0137606610807825,0.0150695929403972,-0.00866923715272024,-0.00546959545941621,-0.00748605937520415,-0.00114091443535032,0.0131903480751956,0.00822326353255713,0.0130712999543173,0.0144564855076139,-0.000838096523501302,0.00714142303217786
"24",24,0.0197219978210482,0.0187288612729066,0.0268332339131634,0.0302610198316399,0.0314401694728554,0.0269654879130473,0.0110134928156409,0.0170644643745142,-0.00391064493503317,0.000866336482783846,-0.00385091043751181,-0.00215689708446092,0.0123808900321655,0.010535276177663,0.0162817577972128,0.0143262544031503,0.00273216344246348,0.0127189120131217
"25",25,0.0183444873274628,0.0178887459044071,0.0243418620364784,0.0294005177247272,0.0232417546344604,0.0292854570048681,0.00997346923706859,0.0180135624506012,-0.00308502562295596,0.00280683846689966,0.00262003278882802,0.00232520270380792,0.0155170886677474,0.0101009647225037,0.0147740601179077,0.0167485771407808,-0.00298888461005276,0.00984119949592452
