"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12"
"1",1,0.0072587009667456,0.00463645282342277,0.00390983388285192,0.00759229073475954,0.00744529716041034,0.00939555166413074,-0.00245030531522113,0.000254504538734777,-0.0111332037930257,-0.00649506870796454,-0.0105708640989043,-0.00932430281156763,0.00360387251468908
"2",2,0.00824912869029551,0.00515769937658864,0.00929577373638711,0.0105148031870674,0.00934262012186097,0.0111760596740941,0.000136997479538247,0.00150632237581343,-0.0105275254080692,-0.00589848649773086,-0.0137295540395679,-0.00901659958170571,0.00159002709214945
"3",3,0.0100859432057772,0.00419233257687878,0.00911892247174373,0.00898871285663505,0.0105063041691586,0.0150752472347809,0.00589833509549907,0.00719587400995789,-0.00713964605706972,-0.00502869393144725,-0.0136910871900064,-0.011053928790318,-0.000134530251264158
"4",4,0.00868072208527364,0.00483267928193039,0.00810612111307151,0.00825420216273005,0.0104693660839134,0.0113109446010931,-0.00256518139111809,0.00395856652075024,-0.00870661114173158,-0.000358091978011626,-0.00733006527404755,-0.00489590918716124,0.00551524058981199
"5",5,0.00663241768996786,0.00469610555654912,0.00719456416581377,0.00982974503220901,0.0119717650308238,0.0144937978011695,0.00735149777167789,0.00658725429993437,-0.007674784867063,-0.00178086299529694,-0.0110358421238481,-0.00604153282087528,-0.000239170919315727
"6",6,0.00986847512408449,0.00761689726924925,0.00568731130923865,0.0105376587687098,0.0068487230572766,0.0119564173722993,0.00354584280028989,0.00373930141394379,-0.00593972970624963,-0.00457360149891583,-0.0110271124901722,-0.0106911782370217,-0.00133832865829892
"7",7,0.00782673297207789,0.000592083693863374,0.0093843880900709,0.00742142658724006,0.0088216807574248,0.0115944052787377,0.000677617937950765,0.00706923188564884,-0.00832813099886908,0.00334781346085186,-0.0105617923582455,-0.00852644637942016,0.00224644112956661
"8",8,0.00684536790802716,0.00453693395294126,0.00698714250056717,0.00900387490945906,0.0130490754236127,0.0151461752745232,0.00336131467908649,0.00403769497706464,-0.0123794026663215,-0.00224513891425537,-0.0133330168070166,-0.0115074948332782,-0.00100921758552134
"9",9,0.0069584097416059,0.000475012127697526,0.00606686461580332,0.00604580446983496,0.0122601890992377,0.0158429797082506,0.00404420773068015,0.00294028193170745,-0.00874360336588346,-0.005753348806556,-0.0154226628704959,-0.0128410707139714,0.000494827929594026
"10",10,0.00866929762344596,0.00748556225635302,0.00698933223407644,0.00950950778551494,0.00733012420386668,0.0113366376068009,0.00451553404829036,0.00602564138703801,-0.00277090706693192,-0.00131355779068582,-0.00321631926056728,-0.00529914225408789,0.00328810063477539
