"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16"
"1",1,-0.0140306649278983,0.00870626310949949,0.00481406811647258,0.00205810378090241,-0.00614735176741072,-0.00223917515401389,-0.00748818552602934,-0.00897684054303425,-0.00525871011655699,0.00344572796943795,0.00814246886176957,0.000965068609261573,0.00223976054501057,0.00837189624836904,-0.00350736659792519,-0.00246155686292439,0.00510433684571158
"2",2,-0.0146711523388752,0.0108099377999881,0.00392696306810811,0.00229291128425695,-0.00377382241695977,0.000603993287927599,-0.00657255706544772,-0.00903467571248327,-0.00553072423099819,0.000885374984816202,0.00669067715201961,0.00220597381308674,0.00403470455606987,0.00783733566137033,-0.00257360834729309,-0.00238207372295348,0.00382904611456036
"3",3,-0.0153694426418096,0.0152353718671586,9.73243482754627e-05,0.00147403001733721,-0.00322185708569906,0.00313766999238921,-0.00721020653937751,-0.00871243090592342,-0.00622797897507254,0.0043199236466691,0.00553690600496926,-0.00099653132381623,0.00393827649651259,0.0102084022824706,-0.00561859738959247,-0.00499132408185144,0.00468188604824897
"4",4,-0.0168564693299707,0.0109727174728761,-0.000436086813729107,-0.000853808901398355,-0.00897690234972138,-0.00385094167275939,-0.00699735809032045,-0.0113588482958168,-0.0059007299665417,0.00260996719575962,0.0095446639104456,-0.00358283648966453,0.00560124020780476,0.0116388009970029,-0.00148950912323253,0.000559686134317521,0.00416669458214485
"5",5,-0.00987707071221827,0.00705630450803473,0.0032346792660565,0.00572702665885403,-0.00028479895657799,0.00229978271422729,0.00289939554962357,-0.00381515109402889,0.00190415140968695,0.000837831326601369,0.0112147386702079,-0.00104681583794359,0.0012432532865956,0.00820018981311216,-0.00317712321682613,-0.00198930817529755,0.00540379646041715
"6",6,-0.0131067032346559,0.0105104376081016,0.00126623665931272,0.00126900979593401,-0.00385852598969375,0.000372186667100542,-0.00477083873631167,-0.00792794643626943,-0.00318110996210267,0.00466637854491371,0.00538668727396544,-0.00156271744486042,0.00388220896990282,0.0107105584051844,-0.00328585997273105,-0.00170501575403561,0.00319122132329003
"7",7,-0.0137239734745202,0.0124744181636062,0.00233760679739247,-0.00031007603653159,-0.00388319773555142,-0.00156372815692577,-0.00455993191448267,-0.00724074766403676,-0.00236215351626425,1.17591553339665e-05,0.00543112630690029,0.00103108738333186,0.00515237946657316,0.00431671795330729,-0.00369499478195131,-0.00353809643483313,0.00541886022834157
"8",8,-0.0122018207019985,0.00807442724159047,-0.00024096733458062,0.00236743303231962,-0.00191559287250669,0.00146031274099039,-0.00507377075828836,-0.00763770025248132,-0.00408695049664196,0.000684995797133516,0.00412527911316036,-4.56800688994377e-05,0.00439109223691116,0.00986289299354785,-0.00319671706970253,-0.00191883838812088,0.00468346732062094
"9",9,-0.0139323472583549,0.00707833014360707,3.68567337941987e-05,0.00337786818771441,-0.000570489717568242,0.00179390493744642,-0.00323759549934515,-0.00468376131189803,-0.00276896417234453,-0.000417659094083293,0.00597681815704828,0.000825057282407789,0.0028142125165716,0.00874034871161417,-0.00162896945383959,-0.00302505130892988,0.00817222414114404
"10",10,-0.0123291942935684,0.00573726422187688,0.00278287734845662,-0.000999727171834914,-0.0027526376096248,-0.00284323003265823,-0.00509839698759926,-0.00864918413837948,-0.00153536337521062,0.00382892437095255,0.00784802295084125,2.01789287642078e-05,0.00393460413007498,0.00601555867733452,-0.00594543090766352,-0.00357294169605267,0.0050424112129828
"11",11,-0.0129882559519672,0.00814274481490849,0.00614850913454428,-0.00222513257011377,0.00104749373655111,-0.00284584281032292,-0.00658771174955706,-0.0115213463081759,-0.0038065858204298,0.00367201738693897,0.00982434935765737,-0.00178031003371879,0.00517820646871499,0.00854061391984426,-0.00461206786550798,-0.00411697852715227,0.00499284306844786
"12",12,-0.014673970388773,0.0111488502735807,0.00145226545219395,0.000598503700862827,-0.00640421886383188,0.000583951823688838,-0.0063165653469892,-0.00745351915317667,-0.00546746694069109,0.00236369281260694,0.00787101821035433,-0.00348319595278441,0.00153048763085605,0.0112986690361117,-0.0033243589813006,0.000405743896970363,0.00573876474700451
"13",13,-0.00669399794872451,0.00788550996197927,-0.000803822400059642,0.00283926791745389,-0.00123018818748305,0.000161098081587008,-0.000302450071440246,-0.00177123745706973,0.00106441624058759,0.000405076728676462,0.00558030169464366,0.00128266488784025,0.00469814930247291,0.00675235764385947,0.00010687209156347,-0.000684510750799551,0.00643547953021372
