"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18","coef_lag19","coef_lag20"
"1",1,0.00187870483628294,-0.00451881326559809,0.0124083041519406,0.00142312944530287,-0.00132097744968737,-0.00899647342773633,0.00300065794518329,-0.0206940021210889,-0.0100120087819644,-0.010604935219951,0.0110142780310169,-0.00251870897018805,0.00583478126495085,0.00525895664476197,0.0199899761403977,-0.00028488207773049,0.00171267114226765,-0.00457309398566683,0.000507649483520349,2.72681041431134e-05,0.0189469007056091
"2",2,-0.000769443920871793,0.000573678770444519,0.0112151616262118,0.0021288726919675,0.000856334884205404,-0.00784926652941131,0.00272932342801534,-0.0190312592847111,-0.00968531261936089,-0.0132039095798726,0.00951347383336695,-0.00134233285761657,0.00883189775876713,0.00539963499567631,0.0159293705842798,0.000916509518792571,0.000669356896482309,-0.00263296630535759,0.00340277877158036,0.000622362923936652,0.016613312184599
"3",3,-0.00394288563370221,0.00231566333358561,0.0076744304165048,0.00124228360649713,-0.000659482311743544,-0.00197908241481268,0.000684861593615655,-0.0190397555150291,-0.0129456188687264,-0.00710909733650877,0.00781911618595068,-0.0041323358794918,0.00404493500580417,0.0117836471651245,0.0134763195711404,-0.00289653526493076,0.000900891334645305,-0.004210630441586,-0.00212747012269877,0.000900452009246806,0.0153366477706606
"4",4,-0.00161827767650774,-0.00176903319562784,0.0068583258472051,-0.00409350737490175,-0.00476954336096503,-0.0118912495852416,0.00208894147909614,-0.0232675021388823,-0.0102950263831736,-0.0111638834467504,0.0116573859997337,-0.0068329102009184,0.00652666401741328,0.0104545255072701,0.0167925590881073,0.00307628895456186,0.00226097288126949,-0.00142472245153572,0.00280685738344351,-0.00523727499588649,0.0150221994654542
"5",5,0.00488113363203258,-0.00473007039021732,0.0121587444295083,0.00465425314624132,0.00110071102990314,-0.00261151427003257,0.0116497964362131,-0.0145353207061223,-0.00190247942299018,-0.00905597564775416,0.0106654573123572,-0.00368680032570583,-0.00172658451496417,0.00808312542426524,0.0119787133716481,-0.00254739967822716,0.00403424236171119,-0.00155475867375216,0.00446618392797064,-0.00149653462130935,0.011262470318749
"6",6,0.00317076373146673,-0.00370677962132541,0.0116977827095268,-1.39936961465407e-05,-0.00152038799686239,-0.00620220349750412,0.00635627719956746,-0.0198862928385599,-0.00828234668143091,-0.00746513587705481,0.00844461949208246,-0.00421663695498535,0.00117559969056636,0.00955223614710828,0.0170060840683863,-0.000884855457403567,0.00055467664217721,-0.00131359087579159,0.00385166144132428,-0.00215307348206059,0.0151876637519044
"7",7,-0.00381756011046984,-0.000668904847047863,0.00951300274355099,0.000293782499080677,-0.00177682916189829,-0.00571585619195988,0.00404802402055881,-0.019120994419955,-0.00890186878218003,-0.0108583035711788,0.00854671843821126,-0.00337942490359009,0.00743118941997266,0.00570783056591277,0.0180873039305153,-0.00347797787654698,0.000771444907949176,-0.00382931848764179,-0.00243249445788916,0.000240269671776176,0.0164239391753861
"8",8,-0.00361423839817155,-0.00133436831403343,0.00798614073292751,0.000581295525848428,-7.8619592445052e-05,-0.00396630712281345,0.00073482885269347,-0.0202847676549998,-0.0109898227308682,-0.00865471482416459,0.00857016469904417,-0.00369578229956203,0.00659921538170241,0.015529567502342,0.0112660704442796,-0.00117496956609536,0.000809091494116073,-0.00206625340755869,0.00301167851742929,-0.00214335417892948,0.015599347919431
"9",9,-0.00232266258904152,-0.00156400676393684,0.00644798549780105,0.000367924040670093,0.00369189865178198,-0.00430156213967115,0.00312621387724682,-0.0143168915218121,-0.00831509400678706,-0.0116710725286823,0.00786104194553568,-0.00145327071685658,0.00485278148365126,0.0119609946484204,0.0103615228549057,0.0015975296114542,0.00595309643080859,-0.00131996740013822,0.00298917302644448,-9.22608722179491e-05,0.0119104454538599
"10",10,0.00106917996656365,-0.00351383363933266,0.0064942649017471,0.00177462744249803,-0.00101379092260478,-0.0052462691055553,0.000453648583323399,-0.0166960652948102,-0.00581706136829379,-0.00317955178384817,0.00700531811610047,-0.00111748230943591,0.00626748615000552,0.00584160249192389,0.010328161050878,-0.00207550821861541,0.00210133206967842,-0.000981149596640225,0.0026425966273248,0.00117190014201631,0.0149037821802675
"11",11,-0.00719858280805589,0.00783495107035496,-0.00375766876847264,-0.00113013294228403,-0.00510935339098042,0.0108182040978997,-0.0225476247384238,-0.0253678762364558,-0.0122972212381721,0.0060486398296322,-0.0115370455812433,0.000153412419832378,0.0158990404204807,0.027306822083979,-0.0019020463571239,-0.00106799825898619,0.00403418372772806,0.00103499819508486,-0.0138446729904192,-0.00790274923815773,0.0192578058380222
"12",12,-0.00480528556137583,0.00253759447963376,0.00934310201609649,0.000704766393414272,-0.00468179098841168,-0.00389102084263503,-0.00121895590193843,-0.0206111155076084,-0.0150103975117342,-0.00702095796430033,0.0111805037305409,-0.00457762422423402,0.00393344121593571,0.0166629411833427,0.0118329795695067,0.00157477792356432,0.000428858225602158,-0.00105055150232351,0.00476964939780287,0.000421417230200515,0.0153391318635739
"13",13,0.00416263436734776,-0.00153522632072552,0.00402576662173105,0.000345244747103273,0.00335239283441394,-0.00533423291242666,0.00455359122630992,-0.0124994533889362,-0.00180614786053942,-0.00953628475031013,0.0040088541127888,-0.00277505766595183,0.00832493196913487,0.00835516536372978,0.0142912914274313,-0.00123355767053495,0.00618173993830323,-0.00280459043250962,7.63934049449314e-05,-0.00252764134101108,0.0142540974523777
"14",14,0.00327056422008007,-0.0015043156645132,0.0141904839308545,0.000352904739934327,0.000117871936650163,-0.007350331220618,0.00451781967789935,-0.0218804809099835,-0.00833213359096847,-0.00684386626292515,0.0132409669182811,-0.00614589968649133,0.00316970526054461,0.0127834262142091,0.0150476556332063,-0.000311865380442198,0.00303496143930731,0.000367024823886779,0.00573272815801706,-0.000607161118451999,0.017783114019023
"15",15,-0.00762571358475988,0.00358630256261021,0.00697994364193919,0.00722613559355839,-0.00880436494581206,0.00124219916525432,-0.000807238310206429,-0.0216845211155158,-0.0192142261879189,-0.00687623492014408,0.0120476224893897,-0.000747715583611451,0.00448768991120738,0.0163654261471758,0.0133204312311106,0.00257961826192568,-0.00197487220731544,-4.86340891392641e-05,0.0040274672546792,-0.00113256185032753,0.0172417992635344
"16",16,-0.00190329816896548,-0.000656357119824551,0.00861076494159288,-0.000729753060965607,-0.000253502334586292,-0.00368879495858904,0.000163898665449819,-0.0211942840260128,-0.00842352789864778,-0.00466906649286676,0.00783910515465486,-0.00265003474971845,0.00448665634257611,0.0141007526775079,0.0115753195717009,-0.00265615355299608,0.00405348872060295,0.00264432460074722,0.00346157373602187,-0.00129007035296112,0.0173436889672357
"17",17,-0.00211222473805251,0.000482189805386396,0.0063983418671089,0.00252476674311758,-0.0049440796809714,-0.00348398145355048,-0.00246493562579556,-0.0191905613700823,-0.011646689911564,-0.00596216861755271,0.00708729535884684,-0.00331703294062395,0.00398168497583602,0.015548039675211,0.00792696882544988,-0.00111496933528678,0.00247167771919089,0.00154174788016684,0.00521496791793335,-0.00224251034691007,0.0152512871639967
"18",18,-0.00626746510592126,0.00381419047786321,0.00754912838494098,0.00371794216240032,-0.0011914502719947,-0.00199202273578188,-0.00272571666718078,-0.0206627127654993,-0.00970619350785179,-0.00213520624703466,0.00970632093230281,-0.00162957352202729,0.00878271026673993,0.0150490903440807,0.0114639486499826,-0.00531005121685647,0.00137253201864697,-0.000316892090933685,0.00131742723691594,0.000314542450957769,0.015860903669261
"19",19,-0.0114089437407551,0.0143317357527852,-0.00628549228306442,-0.00192885767753815,-0.0144767468632734,0.0141603461773254,-0.0235111306278029,-0.02547605626861,-0.0148380752738754,0.0104887271509037,-0.0133206292528,-0.00130190720766943,0.00893225270042886,0.0367561194221609,-0.00513370304909071,0.00242094088843024,0.00235880897067658,0.00903281104514254,-0.0159770176451875,-0.00588063894293255,0.0166407231811038
"20",20,0.000126032980372281,-0.00509163457993733,0.0111995801020085,0.00494019367997059,-0.00816821963239879,-0.00655313078647432,0.00271037671741579,-0.0245469189359419,-0.0161275857296031,-0.00949307496751426,0.0123770585510466,-0.00248190008628999,-0.00107170983233926,0.013319757316432,0.0202502964432234,-0.000809844178165493,0.000215764097031503,0.000300302491453092,0.00380388682732117,-0.000956524994600182,0.0151534314880533
"21",21,-0.00142524826305995,-0.00478159913322338,0.00922010697435562,3.5807374247465e-05,0.00269247007299097,-0.00765864018897794,0.0027256989524905,-0.0200920514359056,-0.0101063400341664,-0.0123320313943395,0.0085599101557134,-0.00330188611427621,0.00984150988802614,0.00753188526546159,0.0161871788819217,-0.000225724507080125,0.00138358485853594,-0.00477523844376933,-0.000180136324283316,0.000482726173256076,0.0170486814140325
"22",22,-0.00231283718404577,-0.00270106047669611,0.00791619326837795,-0.000478447225114819,0.000164000737029158,-0.00901527374891517,0.00495220168855129,-0.0208959724015691,-0.00763825495966107,-0.0124050765110979,0.013040760072875,-0.00521696126764841,0.00986408065516352,0.00972642622162131,0.0187157119563305,-0.00135459307390903,0.00186911312542756,-0.00735898759457221,0.00313901704827512,-0.00325910443093019,0.0158373534291702
"23",23,0.00494342328984926,-0.00346194675944626,0.0119365296536095,0.00216278733206017,0.00369340189445777,-0.00493514683809513,0.00651174194300162,-0.0203870660212605,-0.0075856190820518,-0.0137585564523698,0.0102743961976827,-0.00588810634656738,0.0023827241330946,0.00175623738543149,0.018418648625068,-0.00405968231359607,-0.00104468923374478,-0.00508114756640676,0.00634837192800716,-0.00205737036119254,0.016272564512911
"24",24,-0.00224005125418078,0.00131300764062483,0.00657763967680694,0.00752338845163917,-0.00631960840113423,-0.00215865875921057,-0.000715386035202926,-0.0196866148672142,-0.0127190536501013,-0.00380384708842933,0.00482618293926425,-0.0010884132423109,0.00867043141317054,0.0113279694923944,0.0120876355513986,-0.00460672766215311,0.00211671633678846,0.00287662957388077,-0.00129155696174979,0.00269065987847389,0.0179708076925036
"25",25,-0.000967395349481183,-0.000551409043751755,0.00863701139950508,0.00226792590036818,-0.000146703212790443,-0.0074230989750116,0.00115836213204248,-0.0205929326123427,-0.00726326395044389,-0.00428861593677783,0.00990853832077702,-0.0053427391434815,0.00452034126446679,0.0101406255741172,0.0145042870037506,0.00111897779026073,0.00104106782150955,-0.000898425207912385,0.00267042515490473,-0.00163873284374468,0.017605339594885
"26",26,-0.000221842992684744,-0.00336522706160231,0.00947237190369803,0.00174131291725612,-0.00377953513913628,-0.00636094895365105,0.00207692479713124,-0.0241617505953727,-0.0139299580941215,-0.0101247622335799,0.0115333991603756,-0.00376087200339526,0.00595312566965811,0.00888930946587265,0.0219276054577249,0.000507847816746032,0.00184928510659132,8.85802336005529e-05,0.00519693820241264,-0.00106941982108813,0.0192841458484284
"27",27,0.000138726454663777,-0.000993471737504733,0.00651039935830228,0.00013743838370408,-0.00543419059706855,-0.00336492132182151,0.00473894217297773,-0.01578459669902,-0.00989114743067738,-0.00893791370179523,0.00727491658391236,-0.0044146658747355,0.00173294496200204,0.00714595586372047,0.0170284104379879,0.00196418436200297,0.000351345327868712,0.000353280549792179,0.00145490203992508,0.000456288183609001,0.0116034239564072
"28",28,-0.00520914508448729,0.000218977382142725,0.00749938485115092,0.000533467449363311,-0.00383515703494763,-0.00827205493195078,-0.00243571248924994,-0.0272337365572869,-0.012785545439242,-0.00669263395544934,0.0131096320068384,-0.00498469539186989,0.00559603486286616,0.0166435797448994,0.0159299658350206,-0.00172648466041123,0.00302979412882001,-0.000417820732592805,2.10209173919272e-05,-0.00345190610261049,0.0165936705788677
"29",29,-0.000108780622674232,-0.00816267306771451,0.0123097942576675,-0.000813764896849411,0.0050750200982845,-0.0113771507825216,0.00850891892731857,-0.0189923672963809,-0.00491338502387701,-0.0142219154257045,0.0101969724716722,-0.00395263397210014,0.00704428745843784,0.00224266860949889,0.0185282706823407,-0.000757657179571376,0.00277415202699319,-0.00629469491062499,0.00137496342725187,-0.000460226856492828,0.0173312715859742
"30",30,-0.00221411137613434,-0.00111354411707476,0.0114687755655277,0.00260385685516671,-0.00479290078549492,-0.00821022499945698,0.00441747606100727,-0.018809825342856,-0.0105060408319822,-0.00978910211631857,0.0134354257012329,-0.00589862550790451,0.000156501297663107,0.0119778431933112,0.015633737755997,0.00200208440950938,0.00246145332942339,-0.00122019801954578,0.00874991298475635,-0.00282907736838977,0.0164711364060489
"31",31,-0.00359743702095488,-0.000501888050897443,0.00482665238659577,0.000900827894150014,-0.00432788578039134,-0.00194292865910737,-0.000100025474805183,-0.0207985907386524,-0.0117666217763518,-0.00434009592652239,0.0082367449784727,-0.00540554106376963,0.00487386324353039,0.0200040635616282,0.0141451545427349,0.00423553886368485,-0.00104659212217432,0.00180653003067942,0.00559419846973416,-0.000329523818016751,0.0141743062751466
"32",32,-0.00198359365189119,-0.00268814592066825,0.00876604788372528,0.000546011382737457,0.00386025283834984,-0.00646600801654856,0.00610557528192552,-0.0198486278101506,-0.0064586354103823,-0.0101617551087999,0.0100698619989029,-0.00186963270196467,0.00642273766149709,0.00988629029881391,0.0138723932830423,0.0003374073481146,0.00252790609540012,-0.00437234049735262,0.00325523724844726,0.00174574025416376,0.0149715956539467
"33",33,-0.000984185095321159,-6.28656224949409e-05,0.00674349801525228,-0.00551741719328618,0.00265484714302711,-0.00878511962746334,0.00348927563217522,-0.0194377658481977,-0.00863586739570023,-0.0132199281336849,0.00856904514192979,-0.00569062212193419,0.00925078050241841,0.00960520037694675,0.0176698886610021,0.00170578273609616,0.00328079032885854,-0.00548350616067734,0.00112071594842691,-0.00229670466968828,0.0143365489088144
"34",34,0.00231464501479632,-0.00117849565241434,0.0100226894244084,0.00108146729351627,-0.00225206659117517,-0.0079101743938498,0.00109314382433547,-0.0199795787774885,-0.00797817262057344,-0.0090073553906248,0.0132299524798261,-0.00248015311362967,0.00738225484330619,0.00634907920880013,0.0197879776600168,0.000370885689054333,0.00339327971636147,-0.000506170832732927,0.00285236979825948,-0.00253674928871252,0.0165712849616999
"35",35,0.00247628725185358,0.000408927650866415,0.0103364392424377,0.00908393676298201,-0.00488617820384951,-0.00647010421601792,0.00236807510819345,-0.0190208086547945,-0.0090368446702606,-0.00444208560525743,0.0108573232550784,-0.00031677617282876,-0.000654679933428013,0.00734011115014194,0.0155620144252962,-0.00508902856817692,0.00158796742376021,0.00608978739803249,0.00804685586663823,-0.0031239431997006,0.0183561159192332
"36",36,-0.00375592058741041,-0.0062843525196628,0.00716646895823135,0.000193536096615592,-0.00143090491690558,-0.00625562959048577,0.00789397142281498,-0.0171612137410529,-0.0108086198716855,-0.0168807087382735,0.0111480881503132,-0.00486261629697395,0.00861583480077777,0.00661788482963671,0.0200144343367998,0.00487590323094881,0.00133245460710734,-0.00702919424455113,-0.0019799361537883,0.000174934874680066,0.0142015594403204
"37",37,0.000903200503248729,-0.000414759690258231,0.0116784816214495,0.00549822442833669,-0.00640306865514637,-0.00492378515046459,0.00104781217931391,-0.0167349435737764,-0.0118349480892433,-0.00813561982878411,0.01070369012468,-0.00582940569004892,-0.000854138171073666,0.0106221948956132,0.0140072380137046,-0.00064796387633823,0.00222513741389875,0.000644500782166744,0.00447244174433938,-0.000582872675639057,0.013764919206971
"38",38,0.00215717997340997,-0.000355007760816631,0.00924574616396348,0.00483315671115565,-0.00465024489553683,-0.00359934811381083,0.00102473239190555,-0.0183129666776213,-0.0128671573429481,-0.00737484221053409,0.00948205222302085,-0.00366727947996866,0.00367934261186586,0.00895108932069758,0.0160763585865175,-0.000332574800553395,0.00155489187468596,0.000495732763633636,0.00143112463714674,-0.00146433599402552,0.0157409610794886
"39",39,0.00372941809595879,-0.00503125196349594,0.00992360926973447,-0.00167801865914707,0.00153724872209531,-0.00666207867516048,0.00539402758263527,-0.0217129999371906,-0.00691058968686552,-0.00740606008862847,0.0100693130127517,-0.00338126069166896,0.00622838196258898,0.00994996076030251,0.0119760827624892,-0.00168083995976932,0.0019685751530065,-0.00191152503159985,0.00185975553455826,-0.00218874268346863,0.0148299910303688
"40",40,0.00220785052096565,-0.00656110197290011,0.0097434118147354,0.00135775840554589,0.0028500867597017,-0.00782006899093748,0.00686552623482399,-0.0201808561710904,-0.00605192539602071,-0.0144283508879368,0.0118214726682446,-0.00253618352844318,0.0063364407726007,0.00498739559657894,0.0201985743200511,-0.000617810606140876,0.00375967714146486,-0.00394741398249948,0.00278641106927217,-0.0027350859608402,0.0151266186895613
"41",41,-0.00661492379444956,0.00202990699893078,0.00447627945166546,0.00522095243324169,-0.00748274374863876,-0.000797837150354204,-0.00407699143158561,-0.0203265014297649,-0.0157180618817955,-0.00358834351687234,0.00819533880543438,-0.00224996366695804,0.00395820061443932,0.0140403940341159,0.013839005320828,0.000755990032335161,-0.00237364962660659,0.00216387658772408,0.000925387327197487,0.00287099419510371,0.0145201994797004
"42",42,-0.00868912613439352,0.0110382039464703,-0.00525103289181095,-0.000374059809535993,-0.0112445090379483,0.0119872369683227,-0.0201334323011477,-0.0229358852471337,-0.0126391151145921,0.0106789437858853,-0.00750033235549853,0.00268185289256698,0.00800106084306353,0.0342277912522135,-0.00360811290762693,0.000610150514550053,0.00586875603533979,0.00430491197868328,-0.0118540653226461,-0.00684873386990222,0.0168248576633857
"43",43,0.000608445336249381,-0.00252062552969058,0.0138239757936484,-0.00506510241671353,-0.000562678603025016,-0.00988290836546499,0.00692184722641567,-0.0227513092599653,-0.0107493891965613,-0.0130093968374642,0.0136352482274153,-0.00498295608829208,0.00545567243925571,0.0115978107148188,0.0213561565434157,0.000430878415424289,0.00366799170745844,-0.00270725232182611,0.00403635953835091,-0.00334990092023779,0.0139193803608338
"44",44,-0.00399296384766733,-0.000961117676971887,0.00633985129457277,0.00560878835374619,-0.00714796459280238,-0.00517686700670348,-0.00547709384641278,-0.0212990278498056,-0.0133339681613053,-0.00640016111262411,0.0108651865753861,-0.00252015426469846,0.00709045199660841,0.0116529241156106,0.0154574871975917,-0.00381522474460562,0.00136002431167078,-0.00080306489396778,0.00451272156167631,-0.00164274297201419,0.0186860416961356
"45",45,-0.00114286231529516,0.00117920770467861,0.0110731511692232,0.000481850515873002,-0.00439647593002851,-0.00660863849670428,-0.000503795640284016,-0.0211667546082222,-0.0101014058381706,-0.00519791020804,0.0109387935361477,-0.00495761023256116,0.00578433101710427,0.0116064654276765,0.0145330467958375,-0.00231391135886612,0.00224551004326026,0.00329957374549695,0.00401591305302189,-0.00375388175946735,0.0170330823921215
"46",46,-0.00304872143610771,-0.0015571500516297,0.00807258482793523,-0.00155912414566596,0.00483157042095811,-0.00667214616079811,0.00282102931828693,-0.0190427889109499,-0.00844444188381783,-0.0143467294279163,0.0120052157529732,-0.00179618756708614,0.0110129211737386,0.00893835204028286,0.013460225152176,-0.000234246673109908,0.00555336106200764,-0.0044190429726601,-0.00187372633762783,-0.000926319677809959,0.0145482301651309
"47",47,-0.0045974792892996,-0.00249800274301457,0.00803219446429097,0.00244771372779392,-0.00215615238263983,-0.00646486709990229,0.000912912312036092,-0.0220193260238222,-0.0122657717627469,-0.00894535566747992,0.0111560075011346,-0.00186709218620852,0.0101067787770662,0.0100066467535,0.0198914650753987,-0.00288917307748249,0.00333469597020864,-0.00319049702203338,-0.00213206602455867,0.000138654424786426,0.0177653505902164
"48",48,-0.00103055469122979,-0.00288900107729359,0.00154229847013924,0.00629946433289569,-0.00969826350615697,-0.00258839423911907,-0.000714158669594088,-0.0190876675960875,-0.0155105708105784,-0.00822950053791391,0.0061003441293722,-0.00150409899781846,0.00733594164478915,0.00674324167770017,0.0222537010566052,0.00165368022347585,-0.000892267625479155,-0.000764202389003262,-0.00128708016617501,0.000480547553501697,0.0149654386598717
"49",49,0.00107569184982898,0.00204107749483974,0.00912516942286693,-0.00153776696790928,0.00286037899412001,-0.00671487592583101,0.00332108965443162,-0.0222010869976278,-0.0100039087751619,-0.0090672600773773,0.00905075514865446,-0.0078609872917705,0.00776018804394556,0.0130271437713367,0.0167583019100825,0.00149824123009391,0.000330630383876389,-0.00119322596202697,0.00469595395228945,0.00016509725636618,0.0213165869177043
"50",50,-0.000903842113300202,-0.00358176839338957,0.00887639156076734,0.00194338736981486,-0.00227871150785624,-0.00933940761560292,0.00267816749836793,-0.0196042384093531,-0.0114864159672583,-0.0120830211899063,0.00939944866162531,-0.00422368799395524,0.00909931353443648,0.00810096943612631,0.0168204126579849,-0.00155986716049352,0.00134248176993495,-0.0037397123828897,0.0020166566893612,-0.00250441098208549,0.018931760514938
"51",51,0.00224836971464666,-0.00158779842534526,0.0105576208929001,0.00365835459003793,-0.00382442328598084,-0.00598255002798609,0.000701178535826557,-0.0242342672566425,-0.0126852021918985,-0.00835330525231972,0.011965028917793,-0.00110746869637404,0.00372512017290428,0.010269346298058,0.0192343190158668,-5.19351363943594e-05,0.000546995591917052,-0.00111846550931326,0.00258325969481667,0.000695763162862887,0.0175906532385624
"52",52,0.000599296590832731,-0.0025302132043846,0.0115249509437458,0.00370229021119235,-0.000213062152196135,-0.0116423186439514,0.00650952966725568,-0.0198700185189058,-0.00505491450719699,-0.0106593848946468,0.0139283996733879,-0.00190430765467679,0.00596289859533697,0.00549570895813169,0.0172534954480265,-0.00396995835969563,0.00296315633204623,-0.0043354251109238,0.00316280265717253,-0.00466271528292084,0.0186123099280409
