"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14"
"1",1,0.00671048253614282,0.00575566418784569,0.00670089407528903,0.0117012740021815,0.0138526095919515,0.0112036274852118,-0.00379823508783516,-0.00019764753373127,-0.00978749406843121,-0.00522353774348721,-0.011113525925661,-0.00668812387619132,0.00526836992951563,-0.00282507575419762,-0.0077406632735902
"2",2,0.00841455680035222,0.00563847477631995,0.0110021884170254,0.0129786894885694,0.0124742959003789,0.011283015284435,-0.00139919288711239,0.00119651473243285,-0.0102667619157402,-0.00562354507039529,-0.0136333932963806,-0.00793994202051011,0.00303262871152315,-0.00301733472552194,-0.0034274823094355
"3",3,0.0117707148249765,0.00531660054254979,0.0115942302395103,0.0114081489277875,0.0132908046770086,0.0132088905899549,0.00378589529958785,0.00806615185246557,-0.00716321541322448,-0.00410224333548775,-0.0138012598543863,-0.00918895716039155,-0.000271207914227381,-0.00548246487047148,-0.00236486276334679
"4",4,0.00909545002560903,0.0065572993593157,0.0109455286843875,0.0119185751508588,0.0148859888149842,0.0125133343332886,-0.00410694074460435,0.00426167781131156,-0.00792957726451848,0.000705470151360054,-0.00765376754327024,-0.00291271687328588,0.00637141270276102,-0.00389577685618774,-0.00529579360464191
"5",5,0.00806112242997144,0.00497322414169541,0.00911441612963047,0.010270053208835,0.0160694390713067,0.0122691358770211,0.00546255192161902,0.00716240249243056,-0.00833096180831784,-0.00086772170279962,-0.0128127011951481,-0.00355838716059377,-0.000507050490498836,-0.00456980450244667,-0.00271600267101297
"6",6,0.0106870877314951,0.00880914500861539,0.00875202891696239,0.0133444100341542,0.0115403032901155,0.0127783236413887,0.00235558460533074,0.00428611889809452,-0.00634062957679815,-0.00384134188271878,-0.011292688700185,-0.00914608801032655,-5.9258351120734e-05,-0.00459763417139895,-0.00267582392250724
"7",7,0.00779903167553829,0.00122504649743497,0.0099655655203037,0.0098201522152305,0.00860473837108315,0.0114135946075003,-0.000565624135223362,0.00681975551860368,-0.00701929673905649,0.00338960908776798,-0.00953584599616088,-0.00934199013882625,0.00225449146874527,-0.00258013563781674,-0.00324119492124863
"8",8,0.00714653257109918,0.00449210487142417,0.00817591131125905,0.00988068385331533,0.0148135058278165,0.0147508733888792,0.00223916315096767,0.00488821375475454,-0.0129194060122686,-0.00253658293390104,-0.0139273456403856,-0.0120028482089505,-0.0013273012594718,-0.00615368608961052,-0.00232334746299321
"9",9,0.00652621243543821,-0.000566820452448491,0.00450072268380871,0.00433613566526432,0.0114341775527527,0.0140297842658804,0.00255116500641634,0.00337662460401815,-0.00862717285110054,-0.00671196281102409,-0.0176117803555886,-0.0138970992289473,-0.00203871978818063,-0.00453789727425496,-0.00513912678089952
"10",10,0.00985786043701598,0.00893175972427378,0.00949579367120252,0.0125501966858514,0.0112120469496232,0.0105654859563976,0.00260016140663525,0.00495062029872608,-0.0021805670762471,-0.000154305818739808,-0.003316768210435,-0.00225186318801005,0.00433981684297033,-0.000348598519930305,-0.00412518134962459
"11",11,0.00989376459603175,0.00734037641542194,0.00929252104476474,0.0125035907455033,0.0112342571430119,0.0174119727117387,0.00422787857905994,0.00337077905220868,-0.00845755601120998,-0.00562625230570703,-0.0095720480622267,-0.0107112722572124,0.00298219967268977,-0.0021843227102428,-0.00508393322300977
"12",12,0.00949019542353555,0.00428774951666513,0.00811498161931246,0.00945954753339951,0.0138908997822194,0.00705848511838941,-0.00108451633189085,0.00488497089372455,-0.00576435909681848,-0.00241900033576042,-0.00933705764468586,-0.00743246229586435,0.0019141974866313,-0.00692389352714539,-0.00224597540904093
"13",13,0.00927078570019333,0.00501982841244412,0.0113900954860113,0.00801617973002585,0.00804672204910818,0.011645340810525,0.00406346866069044,0.00533514227889387,-0.00430406465510362,0.00338201402692047,-0.00882314078511062,-0.00762466901395292,-0.00213362032603027,-0.00408302103996007,-0.0023400366762917
"14",14,0.00827932477399926,0.00847210806166181,0.0107448633783134,0.0147972682110386,0.0153619680558354,0.012876295152093,0.00160205433639903,0.00574412577777713,-0.00840824289518932,-0.00404745056766641,-0.00957185064882723,-0.00731838104088482,0.00332354524225406,-0.00395489879802938,-0.00442476849416268
