"","boot","coef_lag0","coef_lag1","coef_lag2","coef_lag3","coef_lag4","coef_lag5","coef_lag6","coef_lag7","coef_lag8","coef_lag9","coef_lag10","coef_lag11","coef_lag12","coef_lag13","coef_lag14","coef_lag15","coef_lag16","coef_lag17","coef_lag18"
"1",1,-0.00464640478704785,0.00946039181375194,-0.000251076105766957,-0.00154463456773056,-0.00560375203513029,-0.00455609558893947,-0.0100937727743782,-0.0115056279404937,-0.013160217934651,-0.00468489219131049,-0.0028503576232756,-0.00118177186455666,0.000836085360191911,0.00488396333890973,0.00282225801062005,0.00711354416210768,0.00924020431019133,0.00257451154583671,-0.00609176923544332
"2",2,-0.00840310433420803,0.0110428652927959,-0.000871398269265599,0.00376481346618051,-0.00643547174484776,-0.00143118607401791,-0.00789662381197422,-0.00956485494310759,-0.0151663873543296,-0.00579992123325284,-0.000182962750217057,0.00242987831646406,0.00279948214300019,0.00573717629389996,0.00345281154955575,0.00642616871975561,0.00204281895633538,0.00331793908920532,-0.00207976434452589
"3",3,-0.00958639767861567,0.0121686204311503,-0.00537267081085072,0.00200533607678389,-0.00437608627709979,0.00125492589458024,-0.00913931886815842,-0.00925428899699806,-0.0171286815151487,-0.00320320025950656,-0.00249889461348413,0.0003159137554865,-0.00026986283242281,0.0101688972492285,0.00106162984842947,0.00489417062439319,0.00456484435755149,-0.00115541117388197,-0.00732301589893199
"4",4,-0.00837064749645731,0.00913179804787416,-0.00612173817726967,-0.000175015707348007,-0.00981433145198553,-0.00667744638888251,-0.00906422523481512,-0.0118655269976962,-0.0156822373323085,-0.00431133149668433,0.000588617821142351,-0.000603093286765282,0.00216527831725745,0.010326361291564,0.00480892973563282,0.0100813457376876,0.00345576443115636,0.00249027496759844,-0.00391545135670243
"5",5,-0.00224048156165892,0.00401255727538649,0.00123251291614063,0.00338438911911784,7.87135984048277e-05,0.00103204040753766,0.00234956246769045,-0.00669224315429661,-0.0044420155686027,-0.00401573998134153,0.00440644656567448,0.000467622302083184,-0.00182215825972191,0.0082351070027029,0.00240117069308697,0.00231839135803824,0.00571336852524242,-0.000543787594113378,-0.00216353639513538
"6",6,-0.00491808400356527,0.00773303293908481,0.000149216986763342,-0.00274967548043504,-0.00353585680536892,-0.00161835206306433,-0.00629027016149585,-0.0122072594480789,-0.0109720056026236,-0.00170883699052127,-0.00185905097305625,-0.00122654372646006,0.000361955155359828,0.0104706186499561,0.00374462175962877,0.00381614963769197,0.00477695471745728,0.00225592022062668,-0.00397722418340739
"7",7,-0.00867636580310992,0.0119931999734601,-0.00444851306441781,-0.00110730043546276,-0.00418174386130007,-0.00363483014305112,-0.0074233052696841,-0.00820090124111107,-0.01229447400356,-0.00787556670765303,-0.00410673093411868,-0.000252954854081746,0.00277432803523156,0.00385718419988409,0.00237372438318244,0.00692240357551515,0.00788736313387034,-0.000544931869993033,-0.00823386851161838
"8",8,-0.00670539171089342,0.00793255963432802,-0.00372758470945442,0.000964911629831236,-0.0025711545773363,-0.000998417956702934,-0.00746628294200766,-0.00937365024203632,-0.0116057411284131,-0.00528518858259525,-0.00243606707420708,-0.000756832875316974,0.00299268808814041,0.00904528147176619,0.00221485181965166,0.00563257516988145,0.00604587283103097,0.0027983047295012,-0.0030345173107584
"9",9,-0.00671024756777937,0.00544061752195007,-0.000109768262892511,-0.000656144378982643,0.000423559566305717,-0.000168227018848823,-0.00442698140838021,-0.00874536858782199,-0.00768933467122743,-0.00637034381073061,0.000280003311674067,-0.000710875699111466,0.00295914790564148,0.00775466023681047,0.00411288268440513,0.00150348174976882,0.0096175559978381,0.00459849584017244,-0.00128004459477023
"10",10,-0.0027393125737602,0.00728539513912797,-0.00462433632128142,-0.00258658554543077,-0.000444289005982904,-0.00507782000270655,-0.00894917613204696,-0.00789320511061212,-0.00628565988497102,-0.00292459545107171,-0.00422065982997916,1.36908652913082e-06,0.00322662668652199,0.00240392514503319,-0.00329686388088747,0.00674107899675586,0.0112148213015401,0.00150832384835498,-0.00355230468249906
"11",11,-0.00427488129009867,0.00987387318873672,-0.000318361919267524,-0.00366100112584297,0.000788968181002838,-0.0044714499105099,-0.00915281397559626,-0.0130399074692806,-0.0120050954828999,-0.00411701216282108,-0.00156051149428385,-0.00298594351829896,0.00438355271508293,0.00463119345792563,0.000470136937782339,0.00562197616040341,0.00766790190065886,0.00262082617806746,-0.00567105238435982
